,Company,Cumulative Diff,Std Dev Diff
257,GRMN,55.56540674432174,1.975336574108872
384,MRK,55.395402333947864,2.215535997249487
40,AMGN,55.15620410212541,1.793197967354676
225,FEYE,54.67124586154005,2.6095887803584192
259,GT,54.657107808555246,1.7753463476202793
284,HSY,54.63304455065762,2.40240588070408
36,AMAT,54.50483487536659,2.426836606640635
383,MPC,54.212434525630634,2.1562571849147845
412,NSC,54.19930165741124,2.1229472138463277
352,LVS,54.00289347445132,2.2127643646164765
33,ALNY,53.87934640972017,2.676377719519135
18,AET,53.72321396045369,1.7704936430195142
359,MAR,53.41446463518034,1.6222460111486956
610,XLNX,53.35690970027184,2.5385895089101735
2,AAP,53.262135779148885,2.61377821378149
287,IBM,53.18615221206615,1.8139406934791975
249,GM,52.93514081315444,2.6045281679851544
394,MUR,52.86987172841951,2.6456297424775856
214,EXPE,52.77916799397285,1.743743398552838
242,FTV,52.5285876426834,3.1097338360509017
594,WFTIQ,52.519665536258515,2.0964857708821607
355,M,52.45939152020338,1.7760316144286872
165,DHI,52.44691418042825,4.586751978390377
530,TEL,52.33659391120286,1.948824086742975
4,ABBV,52.24660960684975,1.9879190614544666
227,FISV,51.798156808453264,2.288520209606635
329,KSS,51.7524374655876,1.7914877711418156
274,HOG,51.70889923955193,1.6557477229619977
101,CAT,51.41865925211103,1.654919228743837
169,DISH,51.069312285772824,2.1648678221089117
184,DVN,50.79978442333656,2.0049909343736547
533,TGT,50.70164812044038,3.9890468514009947
350,LULU,49.94656013199848,2.727312547736071
302,IR,49.273256851535834,2.8202899760947564
98,CA,49.15970205503855,1.7549492818387877
7,ACGL,49.110166171218985,2.7988011546227054
455,PPG,48.687481682028995,2.6464719011195657
361,MAT,48.61834536398622,1.716561353113321
398,NBL,48.59988503712122,1.8449842167101376
168,DISCA,48.50397946923403,1.4946489890862722
43,AMTD,48.276835809825585,1.6294265692022902
511,SQ,48.23006596675858,2.7685380873771197
115,CERN,48.20498254415421,2.3451430338016697
136,CNP,48.11807021978314,2.5081993380701233
183,DVMT,48.01988543817791,2.060994626198751
363,MCHP,47.66041799979618,2.4998566824004103
53,APC,47.53111330812589,1.90152073852508
217,FANG,47.50175017542226,2.407980399165011
410,NOW,47.26229550116595,2.791662809203084
95,BWA,47.22228311660141,3.0143314202178213
613,XRX,47.15648911536147,1.5053458998101112
275,HOLX,46.99067516577132,3.808166628491492
171,DLR,46.975161468258804,2.107751287665519
218,FAST,46.916480842054824,1.5041806636654838
585,WAT,46.87939804808343,2.107461486996409
590,WDC,46.68903422175019,2.4755492210051617
573,VFC,46.55734448523021,2.0015722879738385
267,HD,46.41687387666152,2.2321193213423194
255,GPS,46.357348614643676,1.5587047989477854
308,JAZZ,46.356042968753684,3.1050137284301007
137,COF,46.33263810372334,1.5480978523920466
52,APA,46.263988405225504,1.9807666335993712
254,GPN,46.16227646086724,2.159410884947017
11,ADM,46.09600632203572,1.8986117034415995
191,EFX,46.03566378423899,1.6353888188109091
420,NWSA,45.81895593815754,1.3901565241123213
285,HUM,45.75800062623631,2.896817168567731
317,JWN,45.470170213013745,1.5402572071040612
349,LRCX,45.27315208014684,2.5166901740783576
579,VRSK,45.03484609441027,1.4812319889036647
386,MRVL,44.95028613777192,1.5468708068832877
305,IT,44.88116880316191,1.4079362407804656
442,PEP,44.791171555680386,1.4411708259245606
476,RJF,44.77866566953743,2.2988609198674608
299,IPG,44.715315615391944,3.6523551846755873
293,INCY,44.68262555985994,4.782926781509593
307,IVZ,44.62169612555071,1.7399431153291545
148,CSCO,44.45789707454489,1.5590055745156413
437,PCAR,44.14800632514158,2.252288957435077
240,FTI,44.140847392553866,3.1246838268443975
278,HPE,44.094295708142916,1.6473737587763773
172,DLTR,43.794796963878824,1.58615804349635
94,BSX,43.78679016144294,1.5900840785122685
468,RCL,43.712180711433675,1.6998034148953005
549,TSN,43.65853945520647,1.3686709517684779
364,MCK,43.606116179088275,1.4327091156970981
143,COTY,43.47734296359837,2.955646545383315
190,ED,43.08104105666921,4.1668956695770225
479,RMD,43.0596827013256,2.388385317563643
81,BF/B,43.04953081141062,3.111860546840013
281,HRL,43.02405478753389,1.9205900060348915
69,AXP,42.99396729719861,1.3170169202266875
447,PH,42.990500162420446,2.248696073879852
332,LB,42.98677912929583,2.6695130218701943
354,LYV,42.94745915336706,1.3645203585363044
548,TSLA,42.90324410059576,1.4214086163386332
574,VIAB,42.839615569918806,1.2895158847711943
435,PAYX,42.68855441011991,2.576794577144185
325,KMX,42.665559110726036,3.979809123477245
458,PRU,42.554255454991555,1.32904654413296
451,PLD,42.543457116343056,2.277681879238171
606,WYNN,42.03454363280902,1.8139652928257566
605,WYND,41.95097734827663,3.3397235732732238
616,YUM,41.34791162312872,1.3639336224215592
392,MTN,41.28942061396336,1.8435339024628612
128,CLX,41.26980348661911,1.6618505757435922
141,COP,41.259634880503015,1.3742504576942405
27,ALB,40.796448654344836,2.9017748889188937
347,LOW,40.65105616488802,3.86114023476148
244,GE,40.40353487192198,1.5136521599660657
478,RLGY,40.36843146399654,1.3923416087990081
580,VRSN,40.30580464932473,2.6017681891371276
306,ITW,40.163825749135405,2.488008529262557
179,DRI,40.033203695035226,1.7788674785679572
471,REGN,39.968400936173005,1.4655300955596084
117,CFG,39.926438841792425,4.2249248053575945
135,CNC,39.60767208572343,2.42398919697349
181,DUK,39.545633606380804,1.2519858559601724
160,DATA,39.448001575578346,1.9945138554552193
96,BXP,39.43419803087775,2.8851595949552866
544,TROW,39.310296136876026,3.393472708226945
269,HES,39.21199752708819,2.410291222751056
452,PNC,39.1853342413113,1.2466115639993975
550,TSRO,39.09726047580855,1.3361434115789155
107,CCI,38.81648066344457,2.583659731903165
320,KHC,38.79387999704401,2.3098611512625453
430,ORCL,38.74660016442859,1.3411679925506266
465,QCOM,38.68582955972539,1.2087365574669449
147,CRM,38.631362095153364,3.533778615770424
78,BBY,38.573271707735756,1.25945223544098
14,ADSK,38.39768745327015,1.4561252631935993
150,CSX,38.289288129685545,2.9826901753668382
494,SCHW,38.10118786968143,1.2551448992861018
441,PEG,38.08122918978358,1.2765270713824775
344,LNC,37.808087210518885,2.1818988120518052
330,KSU,37.784360867952074,2.202983549045096
617,Z,37.542718901055025,2.4661898503746076
389,MSI,37.32138220611031,1.2015602378720558
422,O,37.13357448737368,1.6397777577472101
292,ILMN,36.99106395092692,2.440473339624808
6,ABT,36.732800096016184,1.3176651982012495
314,JNJ,36.721863194274874,1.1761046120663963
152,CTL,36.71706122001174,2.730437501539672
524,SYK,36.443423527076064,1.6824427063511544
382,MOS,36.31108249167786,1.2279199737105353
224,FE,36.22960401092206,2.246073505122449
215,EXR,36.1803570831106,2.7624579124019037
49,ANTM,36.1002871224625,2.9837628399800975
358,MAN,35.99601219995763,4.297626497456709
196,EMR,35.91849350807232,1.966411122141058
598,WM,35.894175866552104,3.5278167149058666
464,PYPL,35.84348884849322,1.7755366150755185
276,HON,35.81353894219806,1.2739597510003131
159,DAL,35.803259607793635,1.296220647973867
489,SABR,35.633167025150435,3.116606765366647
195,EMN,35.59614416506904,2.0888972603671867
162,DFS,35.594543904761935,3.050057141403116
85,BIIB,35.52649253599861,1.7561891214094558
477,RL,35.46685289618904,2.5964605763612774
211,EW,35.34575437210796,2.663478019167722
228,FITB,35.01017265887918,2.776395334181542
