,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
9262,Invesco Db Base Metals Fund,Etf,Invesco Db Base Metals Fund,Etf,Etp,Mutual Fund,-1
9263,Invesco Db Energy Fund,Etf,Invesco Db Energy Fund,Etf,Etp,Mutual Fund,-1
9264,Invesco Db Gold Fund,Etf,Invesco Db Gold Fund,Etf,Etp,Mutual Fund,-1
9265,Invesco Db Oil Fund,Etf,Invesco Db Oil Fund,Etf,Etp,Mutual Fund,-1
9266,Invesco Dynamic Software Etf,Etf,Invesco Dynamic Software Etf,Etf,Etp,Mutual Fund,-1
9268,Invesco Fundamental Investme,Etf,Invesco Fundamental Investment Grade Corporate Bond Etf,Etf,Etp,Mutual Fund,-1
9269,Invesco High Income Trust Ii,Closed-End Fund,Invesco High Income Trust Ii,Common Stock,Closed-End Fund,Mutual Fund,-1
9271,Invesco International Buybac,Etf,Invesco International Buyback Achievers™ Etf,Etf,Etp,Mutual Fund,-1
9274,Invesco Municipal Income Opp,Closed-End Fund,Invesco Municipal Income Opportunities Closed Fund Class Common,Common Stock,Closed-End Fund,Mutual Fund,-1
9275,Invesco Municipal Trust,Closed-End Fund,Invesco Municipal Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9277,Invesco Pennsylvania Value M,Closed-End Fund,Invesco Pennsylvania Value Municipal Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9278,Invesco Qqq Trust Series 1,Etf,Invesco Qqq Trust,Etf,Etp,Mutual Fund,-1
9280,Invesco Senior Loan Etf,Etf,Invesco Senior Loan Etf,Etf,Etp,Mutual Fund,-1
9283,Investec Australia Property,Reit,Irongate Group Unit,Common Stock,,,-1
9287,Investment Company Plc,Closed-End Fund,The Investment Company Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
9298,Invincible Investment Corp,Reit,Invincible Investment Corp,Common Stock,Reit,Reit,-1
9303,Invitation Homes Inc,Reit,Invitation Homes Inc,Common Stock,Reit,Reit,-1
9336,Iqiyi Inc-Adr,Adr,Iqiyi Inc,Common Stock,Adr,Depositary Receipt,-1
9348,Irish Continental Group Plc,Unit,Irish Continental Group Plc,Common Stock,Unit,Unit,-1
9354,Ironbark Capital Ltd,Closed-End Fund,Ironbark Capital Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
9369,Ishares Core Nikkei 225 Etf,Etf,Ishares Core Nikkei 225 Etf,Etf,Etp,Mutual Fund,-1
9370,Ishares Gold Bullion Etf,Etf,Ishares Gold Bullion (Cad Hedged),Etf,Etp,Mutual Fund,-1
9371,Ishares Gold Trust,Etf,Ishares Gold Trust,Etf,Etp,Mutual Fund,-1
9372,Ishares Silver Trust,Etf,Ishares Silver Trust,Etf,Etp,Mutual Fund,-1
9393,Istar Inc,Reit,Istar Inc,Common Stock,Reit,Reit,-1
9493,James Hardie Industries-Cdi,Cdi,James Hardie Industries Plc,Common Stock,Cdi,Depositary Receipt,-1
9517,Japan Excellent Inc,Reit,Japan Excellent Inc,Common Stock,Reit,Reit,-1
