,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
17432,Temple Bar Investment Trust,Closed-End Fund,Temple Bar Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
17436,Templeton Emerging Markets-O,Closed-End Fund,Templeton Emerging Markets Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
17473,Ternium Sa-Sponsored Adr,Adr,Ternium Sa Adr,Common Stock,Adr,Depositary Receipt,-1
17487,Terreno Realty Corp,Reit,Terreno Realty Corporation,Common Stock,Reit,Reit,-1
17504,Tetragon Financial Group Ltd,Closed-End Fund,Tetragon Financial Group Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
17506,Teucrium Agricultural Fund,Etf,Teucrium Agricultural Fund,Etf,Etp,Mutual Fund,-1
17507,Teucrium Corn Fund,Etf,Teucrium Corn Fund,Etf,Etp,Mutual Fund,-1
17508,Teucrium Soybean Fund,Etf,Teucrium Soybean,Etf,Etp,Mutual Fund,-1
17509,Teucrium Sugar Fund,Etf,Teucrium Sugar,Etf,Etp,Mutual Fund,-1
17510,Teucrium Wheat Fund,Etf,Teucrium Wheat,Etf,Etp,Mutual Fund,-1
17512,Teva Pharmaceutical-Sp Adr,Adr,,,Public,Preferred Stock,-1
17587,Thor Mining Plc-Cdi,Cdi,Thor Mining Plc Drc,Common Stock,Cdi,Depositary Receipt,-1
17589,Thorney Opportunities Ltd,Closed-End Fund,Thorney Opportunities Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
17590,Thorney Technologies Ltd,Closed-End Fund,Thorney Technologies Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
17837,Tosei Reit Investment Corp,Reit,Tosei Reit Investment Corp,Common Stock,Reit,Reit,-1
17861,Town Centre Securities Plc,Reit,Town Centre Securities Plc,Common Stock,Reit,Reit,-1
17883,Tpg Re Finance Trust Inc,Reit,Tpg Re Finance Trust Inc,Common Stock,Reit,Reit,-1
17888,Tr Property Investment Trust,Closed-End Fund,Tr Property Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
17889,Tracker Fund Of Hong Kong,Etf,Tracker Fund Of Hong Kong,Etf,Etp,Mutual Fund,-1
17939,Transurban Group,Stapled Security,Transurban Group,Common Stock,Stapled Security,Unit,-1
17961,Trek Metals Ltd,Cdi,Trek Metals Ltd,Common Stock,Cdi,Depositary Receipt,-1
17984,Tribeca Global Natural Resou,Closed-End Fund,Tribeca Global Natural Resources Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
18014,Trinity Biotech Plc-Spon Adr,Adr,Trinity Biotech Plc,Common Stock,Adr,Depositary Receipt,-1
18031,Tritax Big Box Reit Plc,Reit,Tritax Big Box Reit Plc,Common Stock,Reit,Reit,-1
18105,Tuanche Ltd-Adr,Adr,Tuanche Adr,Common Stock,Adr,Depositary Receipt,-1
18118,Tuniu Corp-Spon Adr,Adr,Tuniu Corp,Common Stock,Adr,Depositary Receipt,-1
18123,Turkcell Iletisim Hizmet-Adr,Adr,Turkcell Iletisim Hizmetleri As,Common Stock,Adr,Depositary Receipt,-1
18142,Twentyfour Income Fund Ltd,Closed-End Fund,Twentyfour Income Fund Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
18228,Umh Properties Inc,Reit,Umh Properties Inc,Common Stock,Reit,Reit,-1
18241,Unilever Plc-Sponsored Adr,Adr,Unilever Plc Adr,Common Stock,Adr,Depositary Receipt,-1
18254,Union Technologies Informat,Common Stock,Lyxor Index Fund - Lyxor Stoxx Europe 600 Utilities Ucits Etf,Etf,Common Stock,Common Stock,-1
18282,United Corporations Ltd,Closed-End Fund,United Corporations Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
18312,United States Brent Oil Fund,Etf,United States Brent Oil Fund Lp,Etf,Etp,Mutual Fund,-1
18313,United States Gas Fund Lp,Etf,United States Gasoline Fund Lp,Etf,Etp,Mutual Fund,-1
18320,United Urban Investment Corporation,Reit,United Urban Investment Corp,Common Stock,Reit,Reit,-1
18322,Uniti Group Inc,Reit,Uniti Group Inc,Common Stock,Reit,Reit,-1
18366,Urstadt Biddle - Class A,Reit,Urstadt Biddle Properties Inc,Common Stock,Reit,Reit,-1
18367,Urstadt Biddle Properties,Reit,Urstadt Biddle,Common Stock,Reit,Reit,-1
18372,Us Cellular Corp,Common Stock,,,Public,Preferred Stock,-1
18378,Us Financial 15 Split Corp-A,Closed-End Fund,Us Financial 15 Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
18383,Us Natural Gas Fund Lp,Etf,United States Natural Gas Fund Lp,Etf,Etp,Mutual Fund,-1
18388,Us Solar Fund Plc,Closed-End Fund,Us Solar Fund Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
18389,Us Solar Fund Plc,Closed-End Fund,Us Solar Fund Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
18409,Utilico Emerging Markets Tru,Closed-End Fund,Utilico Emerging Markets Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
18410,Utilities Select Sector Spdr,Etf,Utilities Select Sector Spdr® Fund,Etf,Etp,Mutual Fund,-1
18417,Uxin Ltd - Adr,Adr,Uxin Ltd,Common Stock,Adr,Depositary Receipt,-1
18447,Valley National Bancorp,Preferred Stock,Valley National Bancorp,Common Stock,Common Stock,Common Stock,-1
18448,Valley National Bancorp,Preferred Stock,Valley National Bancorp,Common Stock,Common Stock,Common Stock,-1
18472,Vaneck Merk Gold Trust,Etf,Vaneck Merk Gold Trust,Etf,Etp,Mutual Fund,-1
18473,Vaneck Semiconductor,Etf,Vaneck Semiconductor Etf,Etf,Etp,Mutual Fund,-1
18477,Vanguard Energy Etf,Etf,Vanguard Energy Index Fund Etf Shares,Etf,Etp,Mutual Fund,-1
18479,Vanguard Health Care Etf,Etf,Vanguard Health Care Index Fund Etf Shares,Etf,Etp,Mutual Fund,-1
18569,Veon Ltd,Adr,Veon Ltd,Common Stock,Adr,Depositary Receipt,-1
18600,Verona Pharma Plc - Adr,Adr,Verona Pharma Plc Adr,Common Stock,Adr,Depositary Receipt,-1
18619,Vestin Realty Mortgage I Inc,Reit,Vestin Realty Mortgage I Inc,Common Stock,,,-1
18620,Vestin Realty Mortgage Ii,Reit,Vestin Realty Mortgage Ii Inc,Common Stock,Reit,Reit,-1
18637,Vici Properties Inc,Reit,Vici Properties Inc,Common Stock,Reit,Reit,-1
18638,Vicinity Centres,Reit,Vicinity Centres Re Ltd,Common Stock,Reit,Reit,-1
18662,Vident Core Us Bond Strategy,Etf,Vident Core U.S. Bond Strategy Etf™,Etf,Etp,Mutual Fund,-1
18663,Vident International Equity,Etf,Vident International Equity Fund™,Etf,Etp,Mutual Fund,-1
18687,Villeroy & Boch Ag-Pref,Preference,Villeroy & Boch Ag,Common Stock,Preference,Preference,-1
18691,Vinacapital Vietnam Opportun,Closed-End Fund,Vinacapital Vietnam Opportunity Fund,Etf,Closed-End Fund,Mutual Fund,-1
18698,Viomi Technology Co Ltd-Adr,Adr,Viomi Technology Adr,Common Stock,Adr,Depositary Receipt,-1
18702,Vipshop Holdings Ltd - Adr,Adr,Vipshop Holdings Limited,Common Stock,Adr,Depositary Receipt,-1
18726,Virtus Lifesci Biotech Clini,Etf,Virtus Lifesci Biotech Clinical Trials Etf,Etf,Etp,Mutual Fund,-1
18745,Visioneering Tech-Cdi,Cdi,Visioneering Technologies Inc,Common Stock,Cdi,Depositary Receipt,-1
18805,Voc Energy Trust,Unit,Voc Energy Trust,Common Stock,Unit,Unit,-1
18826,Volta Finance Ltd,Closed-End Fund,Volta Finance Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
18839,Voxeljet Ag-Adr,Adr,Voxeljet Ag,Common Stock,Adr,Depositary Receipt,-1
18865,Vukile Property Fund Ltd,Reit,Vukile Property Fund Ltd,Common Stock,Reit,Reit,-1
18887,Wahed Ftse Usa Shariah Etf,Etf,Wahed Ftse Usa Shariah Etf,Etf,Etp,Mutual Fund,-1
18912,Wam Capital Limited,Closed-End Fund,Wam Capital Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
18929,Warehouses Estates Belgium,Reit,Warehouses Estates Belgium Sca,Common Stock,Reit,Reit,-1
18999,Wedbush Etfmg Video Game Tec,Etf,Wedbush Etfmg Video Game Tech Etf,Etf,Etp,Mutual Fund,-1
19007,Weibo Corp-Spon Adr,Adr,Weibo Corp,Common Stock,Adr,Depositary Receipt,-1
19015,Weiss Korea Opportunity Fund,Closed-End Fund,Weiss Korea Opportunity Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
19069,Westlake Chemical Partners L,Mlp,Westlake Chemical Partners Lp,Common Stock,Mlp,Partnership Shares,-1
19096,Wheeler Real Estate Investme,Reit,Wheeler Real Estate Investment Trust Inc,Common Stock,Reit,Reit,-1
19115,Whitefield Limited,Closed-End Fund,Whitefield Ltd Pref B,Common Stock,Public,Preferred Stock,-1
19116,Whitefield Limited,Preferred Stock,Whitefield Ltd Pref B,Common Stock,Public,Preferred Stock,-1
19200,Wintrust Financial Corp,Common Stock,Wintrust Financial Corp Pref,Preferred Stock,Public,Preferred Stock,-1
19209,Wisdomtree International Esg,Etf,Wisdomtree International Esg Fund,Etf,Etp,Mutual Fund,-1
19211,Wisdomtree Japan Hedged Eq,Etf,Wisdomtree Japan Hedged Equity Fund,Etf,Etp,Mutual Fund,-1
19213,Wisdomtree Trust Wisdomtree,Etf,Wisdomtree Interest Rate Hedged U.S. Aggregate Bond Fund,Etf,Etp,Mutual Fund,-1
19231,Wns Holdings Ltd-Adr,Adr,Wns Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
19261,Workspace Group Plc,Reit,Workspace Group Plc,Common Stock,Reit,Reit,-1
19264,World Financial Split Corp-A,Closed-End Fund,World Financial Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
19273,World Poker Fund Holdings In,Common Stock,World Poker Fund Holdings Inc,Mutual Fund,Common Stock,Common Stock,-1
19283,Worldwide Healthcare Trust P,Closed-End Fund,Worldwide Healthcare Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
19291,Wp Carey Inc,Reit,W P Carey Inc,Common Stock,Reit,Reit,-1
19302,Wsdmtree Yld En Us St Agg,Etf,Wisdomtree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,Etf,Etp,Mutual Fund,-1
19323,X Financial-Adr,Adr,X Financial Class A,Common Stock,Adr,Depositary Receipt,-1
19340,Xenia Hotels & Resorts Inc,Reit,Xenia Hotels & Resorts Inc,Common Stock,Reit,Reit,-1
19384,Xinyuan Real Estate Co L-Adr,Adr,Xinyuan Real Estate Co Ltd,Common Stock,Adr,Depositary Receipt,-1
19409,Xtl Biopharmaceuticals-Adr,Adr,Xtl Biopharmaceuticals Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
19414,Xunlei Ltd-Adr,Adr,Xunlei Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
19418,Xymax Reit Investment Corp,Reit,Xymax Reit Investment Corp,Common Stock,Reit,Reit,-1
19479,Yew Grove Reit Plc,Reit,,,Common Stock,Common Stock,-1
19493,Yiren Digital Ltd - Sps Adr,Adr,Yirendai Ltd,Common Stock,Adr,Depositary Receipt,-1
19548,Yunji Inc-Adr,Adr,Yunji Inc,Common Stock,Adr,Depositary Receipt,-1
19567,Zai Lab Ltd-Adr,Adr,Zai Lab Ltd,Common Stock,Adr,Depositary Receipt,-1
19582,Zealand Pharma A/S-Adr,Adr,Zealand Pharma A/S Adr,Common Stock,Adr,Depositary Receipt,-1
19621,Zeta Resources Ltd,Closed-End Fund,Zeta Resources Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
19713,Zto Express Cayman Inc-Adr,Adr,Zto Express (Cayman) Inc,Common Stock,Adr,Depositary Receipt,-1
