,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
2338,BIOINVENT INTERNATIONAL AB,COMMON,,,,
2339,BIOJECT MEDICAL TECHNOLOGIES,COMMON,,,,
2340,BIOLARGO INC,COMMON,BioLargo Inc,Common Stock,Common Stock,Common Stock
2341,BIOLASE INC,COMMON,BIOLASE Inc,Common Stock,Common Stock,Common Stock
2342,BIOLIDICS LTD,COMMON,,,Common Stock,Common Stock
2343,BIOLIFE SOLUTIONS INC,COMMON,BioLife Solutions Inc,Common Stock,Common Stock,Common Stock
2344,BIOLIGHT LIFE SCIENCES LTD,COMMON,BioLight Life Sciences Ltd,Common Stock,Common Stock,Common Stock
2345,BIOLINERX LTD,COMMON,BioLineRx Ltd,Common Stock,ADR,Depositary Receipt
2346,BIOMAGNETICS DIAGNOSTICS COR,COMMON,Biomagnetics Diagnos,Common Stock,Common Stock,Common Stock
2347,BIOMARIN PHARMACEUTICAL INC,COMMON,Biomarin Pharmaceutical Inc,Common Stock,Common Stock,Common Stock
2348,BIOMARK DIAGNOSTICS INC,COMMON,,,Common Stock,Common Stock
2349,BIOMASS SECURE POWER INC,COMMON,Biomass Secure Power Inc,Common Stock,Common Stock,Common Stock
2350,BIOME GROW INC,COMMON,,,,
2351,BIOME TECHNOLOGIES PLC,COMMON,Biome Technologies Plc,Common Stock,Common Stock,Common Stock
2352,BIOMED REALTY TRUST INC,REIT,,,,
2353,BIOMERICA INC,COMMON,Biomerica Inc,Common Stock,Common Stock,Common Stock
2354,BIOMERIDIAN CORPORATION,COMMON,,,,
2355,BIOMERIEUX,COMMON,Biomerieux SA,Common Stock,Common Stock,Common Stock
2356,BIONANO GENOMICS INC,COMMON,Bionano Genomics Inc,Common Stock,Common Stock,Common Stock
2357,BIONDVAX PHARMACEUTICALS-ADR,ADR,BiondVax Pharmaceuticals Ltd ADR,Common Stock,ADR,Depositary Receipt
2358,BIONEUTRA GLOBAL CORP,COMMON,BioNeutra Global Corp,Common Stock,Common Stock,Common Stock
2359,BIONEUTRAL GROUP INC,COMMON,,,,
2360,BIONIK LABORATORIES CORP,COMMON,Bionik Laboratories Corp,Common Stock,Common Stock,Common Stock
2361,BIONITROGEN HOLDINGS CORP,COMMON,BioNitrogen Holdings Corp,Common Stock,Common Stock,Common Stock
2362,BIONOMICS LIMITED,COMMON,Bionomics Ltd,Common Stock,Common Stock,Common Stock
2363,BIOPHAN TECHNOLOGIES INC,COMMON,,,,
2364,BIOPHARM ASIA INC,COMMON,,,,
2365,BIOPHARMA CREDIT PLC,CLOSED-END FUND,BioPharma Credit PLC,Common Stock,Closed-End Fund,Mutual Fund
2366,BIOPOWER OPERATIONS CORP,COMMON,Biopower Operations Corp,Common Stock,Common Stock,Common Stock
2367,BIOQUAL INC,COMMON,Bioqual Inc,Common Stock,Common Stock,Common Stock
2368,BIOQUELL PLC,COMMON,,,,
2369,BIOREM INC .,COMMON,Biorem Inc,Common Stock,Common Stock,Common Stock
2370,BIORESTORATIVE THERAPIES INC,COMMON,,,,
2371,BIOSCIENCE NEUTRACEUTICALS I,COMMON,,,Common Stock,Common Stock
2372,BIOSHAFT WATER TECHNOLOGY,COMMON,,,,
2373,BIOSIG TECHNOLOGIES INC,COMMON,Biosig Technologies Inc,Common Stock,Common Stock,Common Stock
2374,BIOSINO BIO-TECHNOLOGY -H,COMMON,,,Common Stock,Common Stock
2375,BIOSOLAR INC,COMMON,,,,
2376,BIOSPECIFICS TECHNOLOGIES,COMMON,,,Common Stock,Common Stock
2377,BIOSTAGE INC,COMMON,Biostage Inc,Common Stock,Common Stock,Common Stock
2378,BIOSTAR PHARMACEUTICALS INC,COMMON,Biostar Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
2379,BIOSTEM TECHNOLOGIES INC,COMMON,Biostem Technologies Inc,Common Stock,Common Stock,Common Stock
2380,BIOSYENT INC.,COMMON,Biosyent Inc.,Common Stock,Common Stock,Common Stock
2381,BIOTECH GROWTH TRUST PLC/THE,CLOSED-END FUND,The Biotech Growth Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
2382,BIOTECH PRODUCTS SERVICES AN,COMMON,,,,
2383,BIOTECHNOLOGY RESEARCH & INF,COMMON,,,,
2384,BIOTELEMETRY INC,COMMON,,,Common Stock,Common Stock
2385,BIOTRICITY INC,COMMON,Biotricity Inc,Common Stock,Common Stock,Common Stock
2386,BIOTRON LIMITED,COMMON,Biotron Ltd,Common Stock,Common Stock,Common Stock
2387,BIOVENTIX PLC,COMMON,Bioventix,Common Stock,Common Stock,Common Stock
2388,BIOVERATIV INC,,,,,
2389,BIOXCEL THERAPEUTICS INC,COMMON,BioXcel Therapeutics Inc,Common Stock,Common Stock,Common Stock
2390,BIOXEL PHARMA INC.,COMMON,,,,
2391,BIOXYNE LTD,COMMON,Bioxyne Ltd,Common Stock,Common Stock,Common Stock
2392,BIOXYTRAN INC,COMMON,,,Common Stock,Common Stock
2393,BIOZOOM INC,COMMON,,,Common Stock,Common Stock
2394,BIRCH MOUNTAIN RESOURCES LTD,COMMON,,,,
2395,BIRCHCLIFF ENERGY LTD,COMMON,,,,
2396,BIRD CONSTRUCTION INC,COMMON,,,,
2397,BIRD RIVER RESOURCES INC,COMMON,,,Common Stock,Common Stock
2398,BIRKS GROUP INC,COMMON,Birks Group Inc,Common Stock,Common Stock,Common Stock
2399,BIRLA CABLE LIMITED,COMMON,Birla Cable Limited,Common Stock,Common Stock,Common Stock
2400,BIRLASOFT LTD,COMMON,BIRLASOFT LIMITED,Common Stock,Common Stock,Common Stock
2401,BIRMINGHAM SPORTS HOLDINGS,COMMON,Birmingham Sports Holdings Ltd,Common Stock,Common Stock,Common Stock
2402,BISALLOY STEEL GROUP LTD,COMMON,Bisalloy Steel Group Ltd,Common Stock,Common Stock,Common Stock
2403,BISAN LIMITED,CLOSED-END FUND,,,,
2404,BISHOP CAPITAL CORP/WYOMING,COMMON,,,Common Stock,Common Stock
2405,BISON FINANCE GROUP LTD,COMMON,,,,
2406,BISON GOLD RESOURCES INC,COMMON,,,,
2407,BITAUTO HOLDINGS LTD-ADR,ADR,,,ADR,Depositary Receipt
2408,BITCOIN GROUP SE,COMMON,Bitcoin Group SE,Common Stock,Common Stock,Common Stock
2409,BITCOIN SERVICES INC,COMMON,,,,
2410,BITFARMS LTD/CANADA,COMMON,Bitfarms Ltd,Common Stock,Common Stock,Common Stock
2411,BITFRONTIER CAPITAL HOLDINGS,COMMON,BitFrontier Capital Holdings Inc,Common Stock,Common Stock,Common Stock
2412,BITRUSH CORP,COMMON,,,Common Stock,Common Stock
2413,BITTERROOT RESOURCES LTD,COMMON,Bitterroot Resources Ltd,Common Stock,Common Stock,Common Stock
2414,BITTIUM OYJ,COMMON,Bittium Oyj,Common Stock,Common Stock,Common Stock
2415,BITZIO INC,COMMON,,,,
2416,BIZRIGHT TECHNOLOGY INC,COMMON,,,,
2417,BJ SERVICES CO,,,,,
2418,BJ'S WHOLESALE CLUB HOLDINGS,COMMON,BJs Wholesale Club Holdings Inc,Common Stock,Common Stock,Common Stock
2419,BK TECHNOLOGIES CORP,COMMON,BK Technologies Inc,Common Stock,Common Stock,Common Stock
2420,BKF CAPITAL GROUP INC,COMMON,,,Common Stock,Common Stock
2421,BKI INVESTMENT CO LTD,CLOSED-END FUND,BKI Investment Company Ltd,Common Stock,Closed-End Fund,Mutual Fund
2422,BLACK & DECKER CORP,,,,,
2423,BLACK ISLE RESOURCES CORP,COMMON,,,,
2424,BLACKBAUD INC,COMMON,Blackbaud Inc,Common Stock,Common Stock,Common Stock
2425,BLACKBERRY LTD,COMMON,BlackBerry Ltd,Common Stock,Common Stock,Common Stock
2426,BLACKBIRD PLC,COMMON,Blackbird PLC,Common Stock,Common Stock,Common Stock
2427,BLACKCRAFT CULT INC,COMMON,,,,
2428,BLACKEARTH MINERALS NL,COMMON,BlackEarth Minerals NL,Common Stock,Common Stock,Common Stock
2429,BLACKGOLD INTERNATIONAL HOLD,COMMON,,,Common Stock,Common Stock
2430,BLACKHAWK BANCORP INC,COMMON,,,Common Stock,Common Stock
2431,BLACKHAWK CAPITAL GROUP BDC,COMMON,,,,
2432,BLACKHAWK NETWORK HOLDINGS I,COMMON,,,,
2433,BLACKLINE INC,COMMON,Blackline Inc,Common Stock,Common Stock,Common Stock
2434,BLACKLINE SAFETY CORP,COMMON,Blackline Safety Corp,Common Stock,Common Stock,Common Stock
2435,BLACKMORES LIMITED,COMMON,Blackmores Ltd,Common Stock,Common Stock,Common Stock
2436,BLACKOUT MEDIA CORP,COMMON,,,Common Stock,Common Stock
2437,BLACKPEARL RESOURCES INC,COMMON,,,,
2438,BLACKRIDGE TECHNOLOGY INTERN,COMMON,,,,
2439,BLACKROCK CAPITAL INVESTMENT,COMMON,BlackRock Kelso Capital Corporation,Common Stock,Common Stock,Common Stock
2440,BLACKROCK CORE BOND TRUST,CLOSED-END FUND,BlackRock Core Bond Closed Fund,Common Stock,Closed-End Fund,Mutual Fund
2441,BLACKROCK ENERGY AND RESOURC,CLOSED-END FUND,,,,
2442,BLACKROCK FRONTIERS INVEST,CLOSED-END FUND,BlackRock Frontiers Investment Trust plc,Common Stock,Closed-End Fund,Mutual Fund
2443,BLACKROCK GOLD CORP,COMMON,,,Common Stock,Common Stock
2444,BLACKROCK GREATER EUROPE INV,CLOSED-END FUND,BlackRock Greater Europe Investment Trust plc,Common Stock,Closed-End Fund,Mutual Fund
2445,BLACKROCK HEALTH SCIENCES,CLOSED-END FUND,BlackRock Health Sciences Trust,Common Stock,Closed-End Fund,Mutual Fund
2446,BLACKROCK INC,,BlackRock Inc,Common Stock,Common Stock,Common Stock
2447,BLACKROCK INCOME TRUST,CLOSED-END FUND,BlackRock Income Closed Fund,FUND,Closed-End Fund,Mutual Fund
2448,BLACKROCK LATIN AMERICAN INV,CLOSED-END FUND,BlackRock Latin American Investment Trust plc,ETF,Closed-End Fund,Mutual Fund
2449,BLACKROCK MUNIASSETS FUND,CLOSED-END FUND,BlackRock MuniAssets Closed Fund,FUND,Closed-End Fund,Mutual Fund
2450,BLACKROCK MUNICIPAL INCOME I,CLOSED-END FUND,,,,
2451,BLACKROCK MUNIENHANCED FUND,CLOSED-END FUND,,,,
2452,BLACKROCK MUNIHOLDINGS FUND,CLOSED-END FUND,BlackRock MuniHoldings Closed Fund,FUND,Closed-End Fund,Mutual Fund
2453,BLACKROCK MUNIVEST FUND,CLOSED-END FUND,MuniVest Fund Inc,FUND,Closed-End Fund,Mutual Fund
2454,BLACKROCK MUNIVEST FUND II,CLOSED-END FUND,BlackRock MuniVest Fund II,FUND,Closed-End Fund,Mutual Fund
2455,BLACKROCK MUNIYIELD FUND,CLOSED-END FUND,BlackRock MuniYield Fund,FUND,Closed-End Fund,Mutual Fund
2456,BLACKROCK SMALLER COMPANIES,CLOSED-END FUND,Blackrock Smaller Companies Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
2457,BLACKROCK THROGMORTON TRUST,CLOSED-END FUND,Throgmorton Trust Plc,Common Stock,Closed-End Fund,Mutual Fund
2458,BLACKROCK WORLD MINING TRUST,CLOSED-END FUND,Blackrock World Mining Trust Plc,Common Stock,Closed-End Fund,Mutual Fund
2459,BLACKSTAR ENTERPRISE GROUP I,COMMON,Blackstar Enterprise Group Inc,Common Stock,Common Stock,Common Stock
2460,BLACKSTEEL ENERGY INC,COMMON,,,,
2461,BLACKSTONE GROUP INC/THE-A,COMMON,,,,
2462,BLACKSTONE MORTGAGE TRU-CL A,REIT,Blackstone Mortgage Trust Inc,Common Stock,REIT,REIT
2463,BLACKSTONE/GSO STRATEGIC C,CLOSED-END FUND,,,,
2464,BLACKWALL LTD,REIT,BlackWall Property Funds Ltd,Common Stock,REIT,REIT
2465,BLACKWALL PROPERTY TRUST,REIT,,,,
2466,BLANCCO TECHNOLOGY GROUP PLC,COMMON,Blancco Technology Group plc,Common Stock,Common Stock,Common Stock
2467,BLAZE ENERGY CORP,COMMON,,,,
2468,BLAZE INTERNATIONAL LIMITED,COMMON,,,,
2469,BLB LTD,COMMON,BLB Limited,Common Stock,Common Stock,Common Stock
2470,BLENCOWE RESOURCES PLC,COMMON,,,Common Stock,Common Stock
2471,BLINA MINERALS NL,COMMON,,,Common Stock,Common Stock
2472,BLIND CREEK RESOURCES LTD,COMMON,,,,
2473,BLISS GVS PHARMA LIMITED,COMMON,Bliss GVS Pharma Limited,Common Stock,Common Stock,Common Stock
2474,BLOCK COMMODITIES LTD,COMMON,,,Common Stock,Common Stock
2475,BLOCK ENERGY PLC,COMMON,Block Energy PLC,Common Stock,Common Stock,Common Stock
2476,BLOCK H & R INC,,H&R Block Inc,Common Stock,Common Stock,Common Stock
2477,BLOCKCHAIN EVOLUTION INC,TENDER,,,,
2478,BLOCKCHAIN FOUNDRY INC,COMMON,,,Common Stock,Common Stock
2479,BLOCKCHAIN GROUP CO,COMMON,,,,
2480,BLOCKCHAIN INDUSTRIES INC,COMMON,,,,
2481,BLOCKCHAIN SOLUTIONS INC,COMMON,,,,
2482,BLOCKCHAIN TECHNOLOGIES ETF,ETF,Blockchain Technologies,Common Stock,ETP,Mutual Fund
2483,BLOK TECHNOLOGIES INC,COMMON,BLOK Technologies Inc,Common Stock,Common Stock,Common Stock
2484,BLOM BANK SAL-REG S GDR,GDR,,,,
2485,BLONDER TONGUE LABORATORIES,COMMON,Blonder Tongue Laboratories Inc,Common Stock,Common Stock,Common Stock
2486,BLOOBER TEAM SA,COMMON,,,Common Stock,Common Stock
2487,BLOOM ENERGY CORP- A,COMMON,Bloom Energy Corp,Common Stock,Common Stock,Common Stock
2488,BLOOMAGE BIOTECHNOLOGY,COMMON,,,,
2489,BLOOMIN' BRANDS INC,COMMON,Bloomin Brands Inc,Common Stock,Common Stock,Common Stock
2490,BLOOMSBURY PUBLISHING PLC,COMMON,Bloomsbury Publishing Plc,Common Stock,Common Stock,Common Stock
2491,BLOUNT INTERNATIONAL INC,COMMON,,,,
2492,BLOW & DRIVE INTERLOCK CORP,COMMON,,,,
2493,BLOX INC,COMMON,Blox Inc,Common Stock,Common Stock,Common Stock
2494,BLS INTERNATIONAL LTD,COMMON,BLS International Services Limited,Common Stock,Common Stock,Common Stock
2495,BLUCORA INC,COMMON,Blucora Inc,Common Stock,Common Stock,Common Stock
2496,BLUE APRON HOLDINGS INC-A,COMMON,Blue Apron Holdings Inc,Common Stock,Common Stock,Common Stock
2497,BLUE BIRD CORP,COMMON,Blue Bird Corp,Common Stock,Common Stock,Common Stock
2498,BLUE BLENDS (INDIA) LTD,COMMON,Blue Blends (India) Limited,Common Stock,Common Stock,Common Stock
2499,BLUE BUFFALO PET PRODUCTS IN,COMMON,,,,
2500,BLUE CAP AG,COMMON,Blue Cap AG,Common Stock,Common Stock,Common Stock
2501,BLUE CAPITAL REINSURANCE HOL,COMMON,Blue Capital Reinsurance Holdings Ltd,Common Stock,Common Stock,Common Stock
2502,BLUE COAST HOTELS LTD,COMMON,Blue Coast Hotels Limited,Common Stock,Common Stock,Common Stock
2503,BLUE DART EXPRESS LIMITED,COMMON,Blue Dart Express Limited,Common Stock,Common Stock,Common Stock
2504,"BLUE DIAMOND VENTURES, INC.",COMMON,Blue Diamond Ventures Inc,Common Stock,Common Stock,Common Stock
2505,BLUE DOLPHIN ENERGY CO,COMMON,Blue Dolphin Energy Co,Common Stock,Common Stock,Common Stock
2506,BLUE EAGLE LITHIUM INC,COMMON,,,,
2507,BLUE EARTH RESOURCES INC,COMMON,,,Common Stock,Common Stock
2508,BLUE ENERGY LTD,COMMON,Blue Energy Ltd,Common Stock,Common Stock,Common Stock
2509,BLUE GEM ENTERPRISE,COMMON,Blue Gem Enterprise,Common Stock,Common Stock,Common Stock
2510,BLUE HOLDINGS INC,COMMON,,,Common Stock,Common Stock
2511,BLUE LABEL TELECOMS LTD,COMMON,Blue Label Telecoms Ltd,Common Stock,Common Stock,Common Stock
2512,BLUE LAGOON RESOURCES INC,COMMON,,,Common Stock,Common Stock
2513,BLUE LINE PROTECTION GROUP I,COMMON,Blue Line Protection Group Inc,Common Stock,Common Stock,Common Stock
2514,BLUE MOON ZINC CORP,COMMON,,,,
2515,BLUE PLANET INVESTMENT TRUST,CLOSED-END FUND,Blue Planet Investment Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
2516,BLUE PLANET RESEARCH & TECHN,COMMON,,,,
2517,BLUE PRISM GROUP PLC,COMMON,,,Common Stock,Common Stock
2518,BLUE RIDGE BANKSHARES INC,COMMON,Blue Ridge Bankshares Inc,Common Stock,Common Stock,Common Stock
2519,BLUE RIDGE REAL ESTATE CO,COMMON,Blue Ridge Real Estate Company,Common Stock,Common Stock,Common Stock
2520,BLUE RIVER BANCSHARES INC,COMMON,,,,
2521,BLUE RIVER RESOURCES LTD,COMMON,Blue River Resources Ltd,Common Stock,Common Stock,Common Stock
2522,BLUE SKY ALTERNATIVES ACCESS,CLOSED-END FUND,,,,
2523,BLUE SKY ENERGY INC,COMMON,,,,
2524,BLUE SKY URANIUM CORP,COMMON,Blue Sky Uranium Corp,Common Stock,Common Stock,Common Stock
2525,BLUE SOLUTIONS,COMMON,,,,
2526,BLUE SPHERE CORP,COMMON,Blue Sphere Corp,Common Stock,Common Stock,Common Stock
2527,BLUE SQUARE REAL ESTATE LTD,COMMON,Blue Square Real Estate Ltd,Common Stock,Common Stock,Common Stock
2528,BLUE STAR GOLD CORP,COMMON,Blue Star Gold Corp,Common Stock,Common Stock,Common Stock
2529,BLUE STAR LIMITED,COMMON,Blue Star Limited,Common Stock,Common Stock,Common Stock
2530,BLUE STAR OPPORTUNITIES CORP,COMMON,Blue Star Opportunities Corp,Common Stock,Common Stock,Common Stock
2531,BLUE WATER GLOBAL GROUP INC,COMMON,Blue Water Global Group Inc,Common Stock,Common Stock,Common Stock
2532,BLUE WATER PETROLEUM CORP,COMMON,Blue Water Petroleum Corp,Common Stock,Common Stock,Common Stock
2533,BLUEBERRIES MEDICAL CORP,COMMON,Blueberries Medical Corp,Common Stock,Common Stock,Common Stock
2534,BLUEBIRD BATTERY METALS INC,COMMON,,,,
2535,BLUEBIRD BIO INC,COMMON,Bluebird bio Inc,Common Stock,Common Stock,Common Stock
2536,BLUEBIRD MERCHANT VENTURES L,COMMON,Bluebird Merchant Ventures Ltd,Common Stock,Common Stock,Common Stock
2537,BLUECHIIP LTD,COMMON,Bluechiip Ltd,Common Stock,Common Stock,Common Stock
2538,BLUEFIELD SOLAR INCOME FUND,CLOSED-END FUND,Bluefield Solar Income Fund,Common Stock,Closed-End Fund,Mutual Fund
2539,BLUEFIRE RENEWABLES INC,COMMON,,,,
2540,BLUEGREEN VACATIONS CORP,COMMON,,,Common Stock,Common Stock
2541,BLUEHARBOR BANK,COMMON,Blueharbor Bank,Common Stock,Common Stock,Common Stock
2542,BLUEJAY MINING PLC,COMMON,,,,
2543,BLUEKNIGHT ENERGY PARTNERS L,MLP,Blueknight Energy Partners LP LLC,Common Stock,MLP,Partnership Shares
2544,BLUELINX HOLDINGS INC,COMMON,BlueLinx Holdings Inc,Common Stock,Common Stock,Common Stock
2545,BLUENRGY GROUP LTD,COMMON,Bluenrgy Group Ltd,Common Stock,Common Stock,Common Stock
2546,BLUEPRINT MEDICINES CORP,COMMON,Blueprint Medicines Corp,Common Stock,Common Stock,Common Stock
2547,BLUEPRINT TECHNOLOGIES INC,COMMON,,,Common Stock,Common Stock
2548,BLUERUSH INC,COMMON,BLUERUSH Media Group Corp,Common Stock,Common Stock,Common Stock
2549,BLUESCOPE STEEL LTD-UNSP ADR,ADR,BlueScope Steel Ltd ADR,Common Stock,ADR,Depositary Receipt
2550,BLUESTAR ADISSEO CO-A,COMMON,Bluestar Adisseo Co,Common Stock,Common Stock,Common Stock
2551,BLUESTAR ISRAEL TECHNOLOGY E,ETF,BlueStar Israel Technology ETF,ETF,ETP,Mutual Fund
2552,BLUESTEM GROUP INC,COMMON,,,Common Stock,Common Stock
2553,BLUESTONE RESOURCES INC,COMMON,Bluestone Resources Inc,Common Stock,Common Stock,Common Stock
2554,BLUFOREST INC,COMMON,,,,
2555,BLUMONT GROUP LTD,COMMON,,,,
2556,BLYTH INC,COMMON,,,,
2557,BMC SOFTWARE INC,COMMON,,,,
2558,BMC STOCK HOLDINGS INC,COMMON,,,Common Stock,Common Stock
2559,BMG RESOURCES LTD,COMMON,BMG Resources Ltd,Common Stock,Common Stock,Common Stock
2560,BMO GLOBAL COMMUNICATIONS IN,ETF,BMO Global Communications,Common Stock,ETP,Mutual Fund
2561,BMO NASDAQ 100 ETF,ETF,,,,
2562,BMO REAL ESTATE INVESTMENTS,REIT,,,,
2563,BMTC GROUP INC,COMMON,BMTC Group Inc,Common Stock,Common Stock,Common Stock
2564,BNK BANKING CORP LTD,COMMON,BNK Banking Corporation Ltd,Common Stock,Common Stock,Common Stock
2565,BNK PETROLEUM INC,COMMON,,,,
2566,BNN TECHNOLOGY PLC,COMMON,,,,
2567,BNP PARIBAS,COMMON,BNP Paribas SA,Common Stock,Common Stock,Common Stock
2568,BNS SPLIT CORP II,CLOSED-END FUND,,,,
2569,BOADICEA RESOURCES LTD,COMMON,Boadicea Resources Ltd,Common Stock,Common Stock,Common Stock
2570,BOARDROOM LTD,COMMON,,,,
2571,BOARDWALK PIPELINE PARTNERS,MLP,,,,
2572,BOARDWALK REAL ESTATE INVEST,REIT,Boardwalk Real Estate Investment Trust,Common Stock,REIT,REIT
2573,BOARDWALKTECH SOFTWARE CORP,COMMON,Boardwalktech Software Corp,Common Stock,Common Stock,Common Stock
2574,BOART LONGYEAR LTD,COMMON,,,,
2575,BOBST GROUP SA-REG,COMMON,Bobst Group SA,Common Stock,Common Stock,Common Stock
2576,BOC AVIATION LTD,COMMON,BOC Aviation Ltd,Common Stock,Common Stock,Common Stock
2577,BOC HONG KONG HOLDINGS LTD,COMMON,BOC Hong Kong Holdings Ltd,Common Stock,Common Stock,Common Stock
2578,BOCOM INTERNATIONAL HOLDINGS,COMMON,BOCOM International Holdings Co Ltd,Common Stock,Common Stock,Common Stock
2579,BOD AUSTRALIA LTD,COMMON,,,,
2580,BODAL CHEMICALS LTD,COMMON,Bodal Chemicals Limited,Common Stock,Common Stock,Common Stock
2581,BODEGAS RIOJANAS SA,COMMON,Bodegas Riojanas S.A,Common Stock,Common Stock,Common Stock
2582,BODY CENTRAL CORP,COMMON,,,,
2583,BODYCOTE PLC,COMMON,Bodycote PLC,Common Stock,Common Stock,Common Stock
2584,BODYSCAN CORP,COMMON,,,Common Stock,Common Stock
2585,BOE TECHNOLOGY GROUP CO LT-A,COMMON,BOE Technology Group Co Ltd,Common Stock,Common Stock,Common Stock
2586,BOEING CO,,,,,
2587,BOER POWER HOLDINGS LTD,COMMON,Boer Power Holdings Ltd,Common Stock,Common Stock,Common Stock
2588,BOGEN COMMUNICATIONS INTL,COMMON,,,,
2589,BOHAI FERRY GROUP LTD-A,COMMON,Bohai Ferry Co Ltd,Common Stock,Common Stock,Common Stock
2590,BOHAI LEASING CO LTD-A,COMMON,Bohai Leasing Co Ltd,Common Stock,Common Stock,Common Stock
2591,BOHRA INDUSTRIES LTD,COMMON,,,Common Stock,Common Stock
2592,BOINGO WIRELESS INC,COMMON,,,Common Stock,Common Stock
2593,BOIRON SA,COMMON,Boiron SA,Common Stock,Common Stock,Common Stock
2594,BOISE CASCADE CO,COMMON,Boise Cascad Llc,Common Stock,Common Stock,Common Stock
2595,BOJUN AGRICULTURE HOLDINGS L,COMMON,,,Common Stock,Common Stock
2596,BOK FINANCIAL CORPORATION,COMMON,BOK Financial Corporation,Common Stock,Common Stock,Common Stock
2597,BOLDFACE GROUP INC,COMMON,,,,
2598,BOLIDEN AB-UNSPN ADR,ADR,Boliden AB ADR,Common Stock,ADR,Depositary Receipt
2599,BOLINA HOLDING CO LTD,COMMON,,,,
2600,BOLLINGER INDUSTRIES INC,COMMON,Alliance Sports Group L.P,Common Stock,Common Stock,Common Stock
2601,BOLTEK HOLDINGS LTD,COMMON,Boltek Holdings Ltd,Common Stock,Common Stock,Common Stock
2602,BOMBARDIER INC-B,COMMON,,,,
2603,BOMBAY BURMAH TRADING CORP,COMMON,Bombay Burmah Trading Corporation Limited,Common Stock,Common Stock,Common Stock
2604,BOMBAY DYEING & MFG CO LTD,COMMON,Bombay Dyeing & Mfg Company Limited,Common Stock,Common Stock,Common Stock
2605,BOMBAY RAYON FASHIONS LTD,COMMON,Bombay Rayon Fashions Limited,Common Stock,Common Stock,Common Stock
2606,BOMBAY RAYON FASHIONS LTD,COMMON,Bombay Rayon Fashions Limited,Common Stock,Common Stock,Common Stock
2607,BON-TON STORES INC/THE,COMMON,Bon-Ton Stores Inc,Common Stock,Common Stock,Common Stock
2608,BONANZA CREEK ENERGY INC,COMMON,,,Common Stock,Common Stock
2609,BONANZA GOLDFIELDS CORP,COMMON,Bonanza Goldfields,Common Stock,Common Stock,Common Stock
2610,BONASUDDEN HOLDING AB,COMMON,Bonasudden Holding AB,Common Stock,Common Stock,Common Stock
2611,BONAVISTA ENERGY CORP,COMMON,,,Common Stock,Common Stock
2612,BOND RESOURCES INC,COMMON,,,Common Stock,Common Stock
2613,BONE BIOLOGICS CORP,COMMON,Bone Biologics Corp,Common Stock,Common Stock,Common Stock
2614,BONESUPPORT HOLDING AB,COMMON,Bonesupport Holding AB,Common Stock,Common Stock,Common Stock
2615,BONG AB,COMMON,Bong AB (publ),Common Stock,Common Stock,Common Stock
2616,BONJOUR HOLDINGS LIMITED,COMMON,,,,
2617,BONMARCHE HOLDINGS PLC,COMMON,,,Common Stock,Common Stock
2618,BONNY INTERNATIONAL HOLDING,COMMON,Bonny International Holding Ltd,Common Stock,Common Stock,Common Stock
2619,BONSO ELECTRONICS INTL INC,COMMON,Bonso Electronics International Inc,Common Stock,Common Stock,Common Stock
2620,BONTERRA ENERGY CORP,COMMON,Bonterra Energy Corp,Common Stock,Common Stock,Common Stock
2621,BONTERRA RESOURCES INC,COMMON,BonTerra Resources Inc,Common Stock,Common Stock,Common Stock
2622,BONUS BIOGROUP LTD,COMMON,Bonus Biogroup,Common Stock,Common Stock,Common Stock
2623,BONVESTS HOLDINGS LTD,COMMON,Bonvests Holdings Limited,Common Stock,Common Stock,Common Stock
2624,BOOHOO GROUP PLC - UNSP ADR,ADR,Boohoo.Com PLC ADR,Common Stock,ADR,Depositary Receipt
2625,BOOKER GROUP PLC,COMMON,,,,
2626,BOOKING HOLDINGS INC,,Booking Holdings Inc,Common Stock,Common Stock,Common Stock
2627,BOOKKEEPER INTERNATIONAL EQU,COMMON,,,Common Stock,Common Stock
2628,BOOKOFF GROUP HOLDINGS LTD,COMMON,Bookoff Group Holdings Ltd,Common Stock,Common Stock,Common Stock
2629,BOOM LOGISTICS LTD,COMMON,Boom Logistics Ltd,Common Stock,Common Stock,Common Stock
2630,BOOT (HENRY) PLC,COMMON,Henry Boot PLC,Common Stock,Common Stock,Common Stock
2631,BOOT BARN HOLDINGS INC,COMMON,Boot Barn Holdings Inc,Common Stock,Common Stock,Common Stock
2632,BOOZ ALLEN HAMILTON HOLDINGS,COMMON,Booz Allen Hamilton Holding,Common Stock,Common Stock,Common Stock
2633,BORA BORA RESOURCES LTD,COMMON,,,,
2634,BORAL LIMITED,COMMON,Boral Ltd.,Common Stock,Common Stock,Common Stock
2635,BORALEX INC -A,COMMON,,,,
2636,BORDER BANCSHARES INC/ME,COMMON,Border Bancshares ,Common Stock,Common Stock,Common Stock
2637,BORDER PETROLEUM LTD,COMMON,,,Common Stock,Common Stock
2638,BORDERS & SOUTHERN PETROLEUM,COMMON,Borders & Southern Petroleum plc,Common Stock,Common Stock,Common Stock
2639,BOREAL METALS CORP,COMMON,,,,
