,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
11588,MICRON MACHINERY CO LTD,COMMON,Micron Machinery Co Ltd,Common Stock,Common Stock,Common Stock
11589,MICRON SOLUTIONS INC,COMMON,Micron Solutions Inc,Common Stock,Common Stock,Common Stock
11590,MICRON TECHNOLOGY INC,,Micron Technology Inc,Common Stock,Common Stock,Common Stock
11591,MICRONICS JAPAN CO LTD,COMMON,Micronics Japan Co Ltd,Common Stock,Common Stock,Common Stock
11592,MICROPAC INDUSTRIES INC,COMMON,Micropac Industries Inc,Common Stock,Common Stock,Common Stock
11593,MICROPORT SCIENTIFIC CORP,COMMON,MicroPort Scientific Corp,Common Stock,Common Stock,Common Stock
11594,MICROSAIC SYSTEMS PLC,COMMON,Microsaic Systems Plc,Common Stock,Common Stock,Common Stock
11595,MICROSEMI CORP,COMMON,,,,
11596,MICROSOFT CORP,,Microsoft Corporation,Common Stock,Common Stock,Common Stock
11597,MICROSTRATEGY INC-CL A,COMMON,MicroStrategy Incorporated,Common Stock,Common Stock,Common Stock
11598,MICROVISION INC,COMMON,Microvision Inc,Common Stock,Common Stock,Common Stock
11599,MICROWARE GROUP LTD,COMMON,Microware Group Ltd,Common Stock,Common Stock,Common Stock
11600,MICROWAVE FILTER CO INC,COMMON,Microwave Filter Company Inc,Common Stock,Common Stock,Common Stock
11601,MICROWAVE VISION,COMMON,,,Common Stock,Common Stock
11602,MICT INC,COMMON,MICT Inc,Common Stock,Common Stock,Common Stock
11603,MIDAS GOLD CORP,COMMON,,,,
11604,MIDAS HOLDINGS LTD,COMMON,,,Common Stock,Common Stock
11605,MIDCOAST ENERGY PARTNERS LP,LTD PART,,,,
11606,MIDDLEBY CORP,COMMON,Middleby Corp,Common Stock,Common Stock,Common Stock
11607,MIDDLEFIELD BANC CORP,COMMON,Middlefield Banc,Common Stock,Common Stock,Common Stock
11608,MIDDLESEX WATER CO,COMMON,Middlesex Water Company,Common Stock,Common Stock,Common Stock
11609,MIDEA GROUP CO LTD-A,COMMON,Midea Group Co Ltd,Common Stock,Common Stock,Common Stock
11610,MIDEA REAL ESTATE HOLDING LT,COMMON,Midea Real Estate Holding Ltd,Common Stock,Common Stock,Common Stock
11611,MIDLAND EXPLORATION INC.,COMMON,Midland Exploration Inc,Common Stock,Common Stock,Common Stock
11612,MIDLAND HOLDINGS LTD,COMMON,Midland Holdings Ltd,Common Stock,Common Stock,Common Stock
11613,MIDLAND IC&I LTD,COMMON,Midland Ic&I Ltd,Common Stock,Common Stock,Common Stock
11614,MIDLAND STATES BANCORP INC,COMMON,Midland States Bancorp Inc,Common Stock,Common Stock,Common Stock
11615,MIDNIGHT HOLDINGS GROUP INC,COMMON,,,Common Stock,Common Stock
11616,MIDNIGHT SUN MINING CORP,COMMON,Midnight Sun Mining Corp,Common Stock,Common Stock,Common Stock
11617,MIDSOUTH BANCORP INC,COMMON,,,,
11618,MIDWAY LTD,COMMON,Midway Ltd,Common Stock,Common Stock,Common Stock
11619,MIDWEST ENERGY EMISSIONS COR,COMMON,Midwest Energy Emiss,Common Stock,Common Stock,Common Stock
11620,MIDWEST HOLDING INC,COMMON,Midwest Holding Inc,Common Stock,Common Stock,Common Stock
11621,MIDWEST OIL AND GAS INC,COMMON,,,,
11622,MIDWESTONE FINANCIAL GROUP I,COMMON,MidWestOne Financial Group Inc,Common Stock,Common Stock,Common Stock
11623,MIDWICH GROUP PLC,COMMON,,,Common Stock,Common Stock
11624,MIE KOTSU GROUP HOLDINGS INC,COMMON,Mie Kotsu Group Holdings Inc,Common Stock,Common Stock,Common Stock
11625,MIGDAL INSURANCE & FINANCIAL,COMMON,Migdal Insurance,Common Stock,Common Stock,Common Stock
11626,MIJI INTERNATIONAL HOLDINGS,COMMON,Miji International Holdings Ltd,Common Stock,Common Stock,Common Stock
11627,MIKE THE PIKE PRODUCTIONS,COMMON,,,Common Stock,Common Stock
11628,MIKO INTERNATIONAL HOLDINGS,COMMON,Miko International Hldg Ltd,Common Stock,Common Stock,Common Stock
11629,MIKRON HOLDING AG-REG NEW,COMMON,Mikron Holding AG,Common Stock,Common Stock,Common Stock
11630,MIKROS SYSTEMS CORP,COMMON,,,,
11631,MIKUNI CORP,COMMON,Mikuni Corp,Common Stock,Common Stock,Common Stock
11632,MILA RESOURCES PLC,COMMON,,,Common Stock,Common Stock
11633,MILESTONE PHARMACEUTICALS IN,COMMON,Milestone Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
11634,MILESTONE SCIENTIFIC INC,COMMON,Milestone Scientific,Common Stock,Common Stock,Common Stock
11635,MILIBOO SA,COMMON,Miliboo SA,Common Stock,Common Stock,Common Stock
11636,MILL CITY VENTURES III LTD,COMMON,,,Common Stock,Common Stock
11637,MILLENDO THERAPEUTICS INC,COMMON,,,,
11638,MILLENMIN VENTURES INC,COMMON,,,Common Stock,Common Stock
11639,MILLENNIAL LITHIUM CORP,COMMON,,,Common Stock,Common Stock
11640,MILLENNIAL MEDIA INC,COMMON,,,Common Stock,Common Stock
11641,MILLENNIUM BANKSHARES CORP,COMMON,Millenium Bankshares,Common Stock,Common Stock,Common Stock
11642,MILLENNIUM ENERGY CORP,COMMON,Millennium Energy Corp,Common Stock,Common Stock,Common Stock
11643,MILLENNIUM HEALTHCARE INC,COMMON,,,,
11644,MILLENNIUM PACIFIC GROUP HOL,COMMON,Millennium Pacific Group Holdings Ltd,Common Stock,Common Stock,Common Stock
11645,MILLENNIUM SERVICES GROUP LT,COMMON,Millennium Services Group Ltd,Common Stock,Common Stock,Common Stock
11646,MILLER INDUSTRIES INC/FLA,COMMON,,,,
11647,MILLER/HOWARD HIGH INCOME EQ,CLOSED-END FUND,Miller/Howard High Income Equity Fund,FUND,Closed-End Fund,Mutual Fund
11648,MILLICOM INTL CELLULAR S.A.,COMMON,Millicom International Cellular SA,Common Stock,Common Stock,Common Stock
11649,MILLION DOLLAR SALOON INC,COMMON,,,,
11650,MILLION HOPE INDUSTRIES HOLD,COMMON,Million Hope Industries Holdings Ltd,Common Stock,Common Stock,Common Stock
11651,MILLIPORE CORP,,,,,
11652,MILTON CORPORATION LIMITED,CLOSED-END FUND,,,,
11653,MILTON INDUSTRIES LTD,COMMON,,,Common Stock,Common Stock
11654,MIMAKI ENGINEERING CO LTD,COMMON,Mimaki Engineering Co Ltd,Common Stock,Common Stock,Common Stock
11655,MIMECAST LTD,COMMON,,,Common Stock,Common Stock
11656,MIMEDX GROUP INC,COMMON,MiMedx Group Inc,Common Stock,Common Stock,Common Stock
11657,MIN XIN HOLDINGS LTD,COMMON,Min Xin Holdings Ltd,Common Stock,Common Stock,Common Stock
11658,MINAEAN SP CONSTRUCTION CORP,COMMON,Minaean SP Construction Corp,Common Stock,Common Stock,Common Stock
11659,MINATO HOLDINGS INC,COMMON,Minato Holdings Inc,Common Stock,Common Stock,Common Stock
11660,MINAURUM GOLD INC,COMMON,Minaurum Gold Inc,Common Stock,Common Stock,Common Stock
11661,MINBOS RESOURCES LTD,COMMON,Minbos Resources Ltd,Common Stock,Common Stock,Common Stock
11662,MINCO SILVER CORP,COMMON,Minco Silver Corporation,Common Stock,Common Stock,Common Stock
11663,MINCON GROUP PLC,COMMON,Mincon Group P,Common Stock,Common Stock,Common Stock
11664,MINCOR RESOURCES NL,COMMON,Mincor Resources NL,Common Stock,Common Stock,Common Stock
11665,MINDA INDUSTRIES LTD,COMMON,Minda Industries Limited,Common Stock,Common Stock,Common Stock
11666,MINDAX LTD,COMMON,,,Common Stock,Common Stock
11667,MINDBODY INC - CLASS A,COMMON,,,,
11668,MINDCHAMPS PRESCHOOL LTD,COMMON,MindChamps PreSchool Limited,Common Stock,Common Stock,Common Stock
11669,MINDS PLUS MACHINES GROUP LT,COMMON,,,,
11670,MINDTREE LIMITED,COMMON,MindTree Limited,Common Stock,Common Stock,Common Stock
11671,MINEBEA MITSUMI INC,COMMON,Minebea Mitsumi Inc,Common Stock,Common Stock,Common Stock
11672,MINERA ALAMOS INC,COMMON,,,,
11673,MINERAL & FINANCIAL INVESTME,COMMON,Mineral & Financial Investments Ltd,Common Stock,Common Stock,Common Stock
11674,MINERAL COMMODITIES LTD,COMMON,Mineral Commodities Ltd,Common Stock,Common Stock,Common Stock
11675,MINERAL DEPOSITS LIMITED,COMMON,,,Common Stock,Common Stock
11676,MINERAL HILL INDUSTRIES LTD,COMMON,,,,
11677,MINERAL MOUNTAIN RESOURCES L,COMMON,Mineral Mountain Resources Ltd,Common Stock,Common Stock,Common Stock
11678,MINERAL RESOURCES LTD,COMMON,Mineral Resources Ltd,Common Stock,Common Stock,Common Stock
11679,MINERALRITE CORP,COMMON,Mineralrite Corporat,Common Stock,Common Stock,Common Stock
11680,MINERALS TECHNOLOGIES INC,COMMON,Minerals Technologies Inc,Common Stock,Common Stock,Common Stock
11681,MINERCO INC,COMMON,Minerco Inc,Common Stock,Common Stock,Common Stock
11682,MINERVA INTELLIGENCE INC,COMMON,Minerva Intelligence Inc,Common Stock,Common Stock,Common Stock
11683,MINERVA NEUROSCIENCES INC,COMMON,,,Common Stock,Common Stock
11684,MINES MANAGEMENT INC,COMMON,,,Common Stock,Common Stock
11685,MINES MANAGEMENT INC,COMMON,,,Common Stock,Common Stock
11686,MINEWORX TECHNOLOGIES LTD,COMMON,Mineworx Technologie,Common Stock,Common Stock,Common Stock
11687,MINFOCUS EXPLORATION CORP,COMMON,,,,
11688,MING YANG SMART ENERGY GRO-A,COMMON,Ming Yang Smart Energy Group Ltd,Common Stock,Common Stock,Common Stock
11689,MINGFA GROUP INTERNATIONAL,COMMON,,,Common Stock,Common Stock
11690,MINGYUAN MEDICARE DEVELOPME,COMMON,,,,
11691,MINING GLOBAL INC,COMMON,Mining Global Inc,Common Stock,Common Stock,Common Stock
11692,MINISTOP CO LTD,COMMON,Ministop Co Ltd,Common Stock,Common Stock,Common Stock
11693,MINKABU THE INFONOID INC,COMMON,Minkabu The Infonoid Inc,Common Stock,Common Stock,Common Stock
