country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
united states,Ability,Ability Inc,USD,ABIL,equity,KYG8789K1242,ABILITY INC,Industrial,ABILITY INC,ABIL,ABIL,Israel,TASE,ILS
mexico,ABIOMED,Abiomed Inc,MXN,ABMD,equity,US0036541003,ABIOMED INC,"Consumer, Non-cyclical",ABIOMED INC,NMS,ABMD,,,
canada,Abitibi Royalties Inc,Abitibi Royalties Inc,CAD,RZZ,equity,CA0036841074,ABITIBI ROYALTIES INC,Basic Materials,ABITIBI ROYALTIES INC,RZZ,RZZ,Canada,VENTURE,CAD
sweden,Absolent Group AB,Absolent Group AB,SEK,ABSO,equity,SE0006256558,ABSOLENT GROUP AB,,,,,,,
australia,Acacia Coal Ltd,Acacia Coal Ltd,AUD,AJC,equity,AU000000AJC0,ACACIA COAL LTD,,ACACIA COAL LTD,,AJC,Australia,ASX,AUD
united states,Acacia Com,Acacia Communications Inc,USD,ACIA,equity,US00401C1080,ACACIA COMMUNICATIONS INC,Communications,ACACIA COMMUNICATIONS INC,ACIA,ACIA,,,
belgium,Acacia Pharma,Acacia Pharma Group PLC,EUR,ACPH,equity,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,"Consumer, Non-cyclical",ACACIA PHARMA GROUP PLC,ACPH,ACPH,Belgium,ENEXT.BE,EUR
australia,Academies Australasia Group,Academies Australasia Group,AUD,AKG,equity,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,"Consumer, Non-cyclical",ACADEMIES AUSTRALASIA GROUP,AKG,AKG,Australia,ASX,AUD
united states,Acadia Healthcare,Acadia Healthcare Company Inc,USD,ACHC,equity,US00404A1097,ACADIA HEALTHCARE CO INC,"Consumer, Non-cyclical",ACADIA HEALTHCARE CO INC,NMS,ACHC,,,
united states,ACADIA,ACADIA Pharmaceuticals Inc,USD,ACAD,equity,US0042251084,ACADIA PHARMACEUTICALS INC,"Consumer, Non-cyclical",ACADIA PHARMACEUTICALS INC,NMS,ACAD,,,
united states,Acadia,Acadia Realty Trust,USD,AKR,equity,US0042391096,ACADIA REALTY TRUST,Financial,ACADIA REALTY TRUST,AKR,AKR,,,
canada,Acadian Timber Corp,Acadian Timber Corp,CAD,ADN,equity,CA0042721005,ACADIAN TIMBER CORP,Basic Materials,ACADIAN TIMBER CORP,ADN,ADN,Canada,TSE,CAD
canada,Acasti Pharma,Acasti Pharma Inc,CAD,ACST,equity,CA00430K4028,ACASTI PHARMA INC,"Consumer, Non-cyclical",ACASTI PHARMA INC,SCM,ACST,,,
japan,Access,Access Co Ltd,JPY,4813,equity,JP3108060009,ACCESS CO LTD,Technology,ACCESS CO LTD,4813,4813,Japan,TSEJ,JPY
japan,Access Group,Access Group Holdings Co Ltd,JPY,7042,equity,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,"Consumer, Non-cyclical",ACCESS GROUP HOLDINGS CO LTD,7042,7042,Japan,TSEJ,JPY
mexico,Accor,Accor SA,MXN,ACCN,equity,FR0000120404,ACCOR SA,"Consumer, Cyclical",ACCOR SA,ACCN,ACCN,Mexico,MEXI,MXN
canada,Accord Financial Corp.,Accord Financial Corp.,CAD,ACD,equity,CA00435L1085,ACCORD FINANCIAL CORP,Financial,ACCORD FINANCIAL CORP,ACD,ACD,,,
japan,Accrete,Accrete Inc,JPY,4395,equity,JP3108180005,ACCRETE INC,Communications,ACCRETE INC,4395,4395,Japan,TSEJ,JPY
united states,AcelRx,AcelRx Pharmaceuticals Inc,USD,ACRX,equity,US00444T1007,ACELRX PHARMACEUTICALS INC,"Consumer, Non-cyclical",ACELRX PHARMACEUTICALS INC,NMS,ACRX,,,
united states,Acer Therapeutics,Acer Therapeutics Inc,USD,ACER,equity,US00444P1084,ACER THERAPEUTICS INC,"Consumer, Non-cyclical",ACER THERAPEUTICS INC,SCM,ACER,,,
japan,Achilles Corp,Achilles Corp,JPY,5142,equity,JP3108000005,ACHILLES CORP,Industrial,ACHILLES CORP,5142,5142,Japan,TSEJ,JPY
united states,ACI Worldwide,ACI Worldwide Inc,USD,ACIW,equity,US0044981019,ACI WORLDWIDE INC,Technology,ACI WORLDWIDE INC,NMS,ACIW,,,
belgium,Ackermans,Ackermans & Van Haaren NV,EUR,ACKB,equity,BE0003764785,ACKERMANS & VAN HAAREN,Industrial,ACKERMANS & VAN HAAREN,XETRA,ACKB,Belgium,ENEXT.BE,EUR
united states,Aclaris Therapeutics Inc,Aclaris Therapeutics Inc,USD,ACRS,equity,US00461U1051,ACLARIS THERAPEUTICS INC,"Consumer, Non-cyclical",ACLARIS THERAPEUTICS INC,NMS,ACRS,,,
united states,Acme United,Acme United Corp,USD,ACU,equity,US0048161048,ACME UNITED CORP,"Consumer, Non-cyclical",ACME UNITED CORP,ACU,ACU,,,
japan,Acmos,Acmos Inc,JPY,6888,equity,JP3108100003,ACMOS INC,Industrial,ACMOS INC,6888,6888,Japan,TSEJ,JPY
japan,Acom Co Ltd,Acom Co Ltd,JPY,8572,equity,JP3108600002,ACOM CO LTD,Financial,ACOM CO LTD,8572,8572,Japan,TSEJ,JPY
united states,Acorda,Acorda Therapeutics Inc,USD,ACOR,equity,US00484M1062,ACORDA THERAPEUTICS INC,"Consumer, Non-cyclical",ACORDA THERAPEUTICS INC,NMS,ACOR,,,
,Acorda Therapeutics Inc,,,ACOR,,US00484M6012,ACORDA THERAPEUTICS INC,"Consumer, Non-cyclical",ACORDA THERAPEUTICS INC,NMS,ACOR,,,
australia,Acorn Capital Invest Fund,Acorn Capital Invest Fund,AUD,ACQ,equity,AU000000ACQ5,ACORN CAPITAL INVESTMENT FUN,,ACORN CAPITAL INVESTMENT FUN,ACQ,ACQ,Australia,ASX,AUD
united states,Acorn,Acorn Energy Inc,USD,ACFN,equity,US0048481073,ACORN ENERGY INC,Technology,ACORN ENERGY INC,ACFN,ACFN,,,
united states,Acorn,Acorn International Inc,USD,ATV,equity,US0048542049,ACORN INTERNATIONAL INC-ADR,Communications,ACORN INTERNATIONAL INC-ADR,ATV,ATV,,,
japan,Acrodea,Acrodea Inc,JPY,3823,equity,JP3108120001,ACRODEA INC,,,,,,,
sweden,Actic Group,Actic Group AB,SEK,ATIC,equity,SE0009269467,ACTIC GROUP AB,"Consumer, Cyclical",ACTIC GROUP AB,ATIC,ATIC,Sweden,SFB,SEK
united states,Actinium Pharmaceuticals,Actinium Pharmaceuticals Inc,USD,ATNM,equity,US00507W1071,ACTINIUM PHARMACEUTICALS INC,"Consumer, Non-cyclical",ACTINIUM PHARMACEUTICALS INC,ATNM,ATNM,,,
australia,Actinogen Medical,Actinogen Medical Ltd,AUD,ACW,equity,AU000000ACW3,ACTINOGEN MEDICAL LTD,"Consumer, Non-cyclical",ACTINOGEN MEDICAL LTD,ACW,ACW,Australia,ASX,AUD
japan,Activia Properties,Activia Properties Inc,JPY,3279,equity,JP3047490002,ACTIVIA PROPERTIES INC,Financial,ACTIVIA PROPERTIES INC,3279,3279,Japan,TSEJ,JPY
mexico,Activision Blizzard,Activision Blizzard Inc,MXN,ATVI,equity,US00507V1098,ACTIVISION BLIZZARD INC,Technology,ACTIVISION BLIZZARD INC,NMS,ATVI,Mexico,US Exchange,
united states,Acuity Brands,Acuity Brands Inc,USD,AYI,equity,US00508Y1029,ACUITY BRANDS INC,Industrial,ACUITY BRANDS INC,AYI,AYI,,,
united states,Acura Pharma,Acura Pharmaceuticals Inc,USD,ACUR,equity,US00509L8028,ACURA PHARMACEUTICALS INC,"Consumer, Non-cyclical",ACURA PHARMACEUTICALS INC,LIMITED,ACUR,,,
australia,Adairs Ltd,Adairs Ltd,AUD,ADH,equity,AU000000ADH2,ADAIRS LTD,"Consumer, Cyclical",ADAIRS LTD,ADH,ADH,Australia,ASX,AUD
united states,Adamas Pharmaceuticals Inc,Adamas Pharma,USD,ADMS,equity,US00548A1060,ADAMAS PHARMACEUTICALS INC,"Consumer, Non-cyclical",ADAMAS PHARMACEUTICALS INC,ADMS,ADMS,,,
united states,Adaptimmune Therapeutics,Adaptimmune Therapeutics Plc,USD,ADAP,equity,US00653A1079,ADAPTIMMUNE THERAPEUTICS-ADR,"Consumer, Non-cyclical",ADAPTIMMUNE THERAPEUTICS-ADR,NMS,ADAP,,,
austria,Addiko Bank,Addiko Bank AG,EUR,ADKO,equity,AT000ADDIKO0,ADDIKO BANK AG,Financial,ADDIKO BANK AG,XETRA,ADKO,Austria,VSE,EUR
japan,Adeka Corp,Adeka Corp,JPY,4401,equity,JP3114800000,ADEKA CORP,Basic Materials,ADEKA CORP,4401,4401,Japan,TSEJ,JPY
united states,Adesto Technologies Corp,Adesto Technologies Corp,USD,IOTS,equity,US00687D1019,ADESTO TECHNOLOGIES CORP,Technology,ADESTO TECHNOLOGIES CORP,IOTS,IOTS,,,
canada,Adex Mining Inc,Adex Mining Inc,CAD,ADE,equity,CA0069032070,ADEX MINING INC,Basic Materials,ADEX MINING INC,ADE,ADE,Canada,VENTURE,CAD
canada,ADF Group Inc.,ADF Group Inc.,CAD,DRX,equity,CA00089N1033,ADF GROUP INC,Basic Materials,ADF GROUP INC,DRX,DRX,,,
mexico,Adidas,adidas AG,MXN,ADSN,equity,DE000A1EWWW0,ADIDAS AG,"Consumer, Cyclical",ADIDAS AG,ADSN,ADSN,Mexico,MEXI,MXN
united states,Adient,Adient PLC,USD,ADNT,equity,IE00BD845X29,ADIENT PLC,"Consumer, Cyclical",ADIENT PLC,ADNT,ADNT,,,
austria,ADO Properties SARL,ADO Properties SA,EUR,ADJ,equity,LU1250154413,ADO PROPERTIES SA,,,,,,,
united states,Adtalem Education,Adtalem Global Education Inc,USD,ATGE,equity,US00737L1035,ADTALEM GLOBAL EDUCATION INC,"Consumer, Non-cyclical",ADTALEM GLOBAL EDUCATION INC,ATGE,ATGE,,,
japan,Adtec Plasma Tech,Adtec Plasma Technology Co Ltd,JPY,6668,equity,JP3122010006,ADTEC PLASMA TECHNOLOGY CO,Technology,ADTEC PLASMA TECHNOLOGY CO,6668,6668,Japan,TSEJ,JPY
united states,ADTRAN,ADTRAN Inc,USD,ADTN,equity,US00738A1060,ADTRAN INC,,,,,,,
,ADTRAN Inc,,,ADTN,,US00486H1059,ADTRAN INC,,,,,,,
united states,Aduro Biotech Inc,Aduro Biotech Inc,USD,ADRO,equity,US00739L1017,ADURO BIOTECH INC,,,,,,,
switzerland,Adval Tech Holding AG,Adval Tech Holding AG,CHF,ADVN,equity,CH0008967926,ADVAL TECH HOLDING AG-REG,Industrial,ADVAL TECH HOLDING AG-REG,ADVN,ADVN,Switzerland,EBS,CHF
united states,Advance Auto Parts,Advance Auto Parts Inc,USD,AAP,equity,US00751Y1064,ADVANCE AUTO PARTS INC,"Consumer, Cyclical",ADVANCE AUTO PARTS INC,AAP,AAP,,,
japan,Advanced Media,Advanced Media Inc,JPY,3773,equity,JP3122150000,ADVANCED MEDIA INC,Technology,ADVANCED MEDIA INC,3773,3773,Japan,TSEJ,JPY
mexico,AMD,Advanced Micro Devices Inc,MXN,AMD,equity,US0079031078,ADVANCED MICRO DEVICES,Technology,ADVANCED MICRO DEVICES,NMS,AMD,,,
mexico,AMD,Advanced Micro Devices Inc,MXN,AMD,equity,US0079031078,ADVANCED MICRO DEVICES,Technology,ADVANCED MICRO DEVICES CDR,AMD,AMD,,,
japan,Advanex Inc,Advanex Inc,JPY,5998,equity,JP3213400009,ADVANEX INC,Industrial,ADVANEX INC,5998,5998,Japan,TSEJ,JPY
united states,AdvanSix,AdvanSix Inc,USD,ASIX,equity,US00773T1016,ADVANSIX INC,Basic Materials,ADVANSIX INC,ASIX,ASIX,,,
japan,Advantage Risk Management,Advantage Risk Management Co Ltd,JPY,8769,equity,JP3122410008,ADVANTAGE RISK MANAGEMENT CO,"Consumer, Non-cyclical",ADVANTAGE RISK MANAGEMENT CO,8769,8769,Japan,TSEJ,JPY
japan,Advantest Corp.,Advantest Corp.,JPY,6857,equity,JP3122400009,ADVANTEST CORP,Technology,ADVANTEST CORP,6857,6857,Japan,TSEJ,JPY
japan,Adventure,Adventure Inc,JPY,6030,equity,JP3122380003,ADVENTURE INC,Communications,ADVENTURE INC,6030,6030,Japan,TSEJ,JPY
united states,Adverum Biotechn,Adverum Biotechnologies Inc,USD,ADVM,equity,US00773U1088,ADVERUM BIOTECHNOLOGIES INC,"Consumer, Non-cyclical",ADVERUM BIOTECHNOLOGIES INC,NMS,ADVM,,,
france,Advicenne,Advicenne,EUR,ADVIC,equity,FR0013296746,ADVICENNE,,ADVICENNE,,ADVIC,France,SBF,EUR
united states,AdvisorShares New Tech and Media,AdvisorShares New Tech and Media,USD,FNG,equity,US00768Y5520,ADVSRSHRS NEW TECH AND MEDIA,,ADVSRSHRS NEW TECH AND MEDIA,FNG,FNG,,,
japan,Adways,Adways Inc,JPY,2489,equity,JP3121970002,ADWAYS INC,Communications,ADWAYS INC,2489,2489,Japan,TSEJ,JPY
united states,Aegion,Aegion Corp,USD,AEGN,equity,US00770F1049,AEGION CORP,Industrial,AEGION CORP,AEGN,AEGN,,,
united states,Aemetis Inc,Aemetis Inc,USD,AMTX,equity,US00770K2024,AEMETIS INC,Energy,AEMETIS INC,NMS,AMTX,,,
china,Aeolus Tyre,Aeolus Tyre Co Ltd,CNY,600469,equity,CNE000001G46,AEOLUS TYRE CO LTD-A,"Consumer, Cyclical",AEOLUS TYRE CO LTD-A,600469,600469,China,SEHKNTL,CNH
japan,Aeon Financial Service Co Ltd,Aeon Financial Service Co Ltd,JPY,8570,equity,JP3131400008,AEON FINANCIAL SERVICE CO LT,Financial,AEON FINANCIAL SERVICE CO LT,8570,8570,Japan,TSEJ,JPY
united states,Aeon Global,Aeon Global Health Corp,USD,AGHC,equity,US00774U1079,AEON GLOBAL HEALTH CORP,Technology,AEON GLOBAL HEALTH CORP,AGHC,AGHC,,,
japan,Aeon Mall Co Ltd,Aeon Mall Co Ltd,JPY,8905,equity,JP3131430005,AEON MALL CO LTD,Financial,AEON MALL CO LTD,8905,8905,Japan,TSEJ,JPY
australia,Aeon Metals Ltd,Aeon Metals Ltd,AUD,AML,equity,AU000000AML5,AEON METALS LTD,Basic Materials,AEON METALS LTD,AML,AML,Australia,ASX,AUD
united states,AerCap Holdings NV,AerCap Holdings NV,USD,AER,equity,NL0000687663,AERCAP HOLDINGS NV,Financial,AERCAP HOLDINGS NV,AER,AER,United States of America,NYSE,USD
australia,Aeris Environmental Ltd,Aeris Environmental Ltd,AUD,AEI,equity,AU000000AEI8,AERIS ENVIRONMENTAL LTD,Industrial,AERIS ENVIRONMENTAL LTD,AEI,AEI,Australia,ASX,AUD
united states,AeroCentury,AeroCentury Corp,USD,ACY,equity,US0077371096,AEROCENTURY CORP,,,,,,,
united states,Aerojet Rocketdyne,Aerojet Rocketdyne Holdings Inc,USD,AJRD,equity,US0078001056,AEROJET ROCKETDYNE HOLDINGS,Industrial,AEROJET ROCKETDYNE HOLDINGS,AJRD,AJRD,,,
china,Aerospace Communications,Aerospace Communications Holdings Co Ltd,CNY,600677,equity,CNE000000BS6,AEROSPACE COMMUNICATIONS -A,Technology,AEROSPACE COMMUNICATIONS -A,600677,600677,,,
china,Aerosun Corp,Aerosun Corp,CNY,600501,equity,CNE000001857,AEROSUN CORP-A,Industrial,AEROSUN CORP-A,600501,600501,China,SEHKNTL,CNH
united states,AeroVironment,AeroVironment Inc,USD,AVAV,equity,US0080731088,AEROVIRONMENT INC,Industrial,AEROVIRONMENT INC,NMS,AVAV,,,
canada,Aeterna Zentaris,Aeterna Zentaris Inc,CAD,AEZS,equity,CA0079754028,AETERNA ZENTARIS INC,"Consumer, Non-cyclical",AETERNA ZENTARIS INC,AEZS,AEZS,,,
switzerland,Aevis Victoria,Aevis Victoria SA,CHF,AEVS,equity,CH0478634105,AEVIS VICTORIA SA,Financial,AEVIS VICTORIA SA,AEVS,AEVS,Switzerland,EBS,CHF
israel,Afcon Holdings,Afcon Holdings Ltd,ILS,AFHL,equity,IL0005780130,AFCON HOLDINGS LTD,Industrial,AFCON HOLDINGS LTD,AFHL,AFHL,Israel,TASE,ILS
united states,Affiliated Managers,Affiliated Managers Group Inc,USD,AMG,equity,US0082521081,AFFILIATED MANAGERS GROUP,Financial,AFFILIATED MANAGERS GROUP,AMG,AMG,,,
canada,Affinity Metals,Affinity Metals Corp,CAD,AFF,equity,CA00827Y1060,AFFINITY METALS CORP,Basic Materials,AFFINITY METALS CORP,AFF,AFF,Canada,VENTURE,CAD
united states,Aflac,Aflac Inc,USD,AFL,equity,US0010551028,AFLAC INC,Financial,AFLAC INC,AFL,AFL,,,
israel,Africa Israel Residences,Africa Israel Residences Ltd,ILS,AFRE,equity,IL0010979487,AFRICA ISRAEL RESIDENCES LTD,Financial,AFRICA ISRAEL RESIDENCES LTD,AFRE,AFRE,Israel,TASE,ILS
australia,African Energy Resources,African Energy Resources Ltd,AUD,AFR,equity,AU000000AFR6,AFRICAN ENERGY RESOURCES-CDI,,,,,,,
united states,AG Mortgage Investment,AG Mortgage Investment Trust Inc,USD,MITT,equity,US0012281053,AG MORTGAGE INVESTMENT TRUST,Financial,AG MORTGAGE INVESTMENT TRUST,MITT,MITT,,,
united states,Agenus,Agenus Inc,USD,AGEN,equity,US00847G7051,AGENUS INC,"Consumer, Non-cyclical",AGENUS INC,SCM,AGEN,,,
hong kong,Agile Group,Agile Group Holdings Ltd,HKD,3383,equity,KYG011981035,AGILE GROUP HOLDINGS LTD,Financial,AGILE GROUP HOLDINGS LTD,3383,3383,Hong Kong,SEHK,HKD
united states,Agilent Technologies,Agilent Technologies Inc,USD,A,equity,US00846U1016,AGILENT TECHNOLOGIES INC,Industrial,AGILENT TECHNOLOGIES INC,A,A,,,
united states,Agilysys,Agilysys Inc,USD,AGYS,equity,US00847J1051,AGILYSYS INC,Technology,AGILYSYS INC,NMS,AGYS,,,
canada,AgJunction Inc.,AgJunction Inc.,CAD,AJX,equity,CA00847V1085,AGJUNCTION INC,Communications,AGJUNCTION INC,AJX,AJX,,,
australia,AGL Energy,AGL Energy Ltd,AUD,AGL,equity,AU000000AGL7,AGL ENERGY LTD,Utilities,AGL ENERGY LTD,AGL,AGL,Australia,ASX,AUD
canada,Agnico Eagle Mines,Agnico-Eagle Mines Ltd.,CAD,AEM,equity,CA0084741085,AGNICO EAGLE MINES LTD,Basic Materials,AGNICO EAGLE MINES LTD,AEM,AEM,,,
japan,Agora Hospitality Group,Agora Hospitality Group Co Ltd,JPY,9704,equity,JP3561200001,AGORA HOSPITALITY GROUP CO L,"Consumer, Cyclical",AGORA HOSPITALITY GROUP CO L,9704,9704,Japan,TSEJ,JPY
japan,Agratio Urban Design,Agratio Urban Design Inc,JPY,3467,equity,JP3108170006,AGRATIO URBAN DESIGN INC,"Consumer, Cyclical",AGRATIO URBAN DESIGN INC,3467,3467,Japan,TSEJ,JPY
hong kong,Agricultural Bank Of China,Agricultural Bank Of China,HKD,1288,equity,CNE100000Q43,AGRICULTURAL BANK OF CHINA-H,Financial,AGRICULTURAL BANK OF CHINA-H,1288,1288,Hong Kong,SEHK,HKD
hong kong,Agritrade,Agritrade Resources Ltd,HKD,1131,equity,BMG0130N1130,AGRITRADE RESOURCES LTD,,AGRITRADE RESOURCES LTD,,1131,Hong Kong,SEHK,HKD
japan,Agro Kanesho Co Ltd,Agro-Kanesho Co Ltd,JPY,4955,equity,JP3108200001,AGRO-KANESHO CO LTD,Basic Materials,AGRO-KANESHO CO LTD,4955,4955,Japan,TSEJ,JPY
united states,AgroFresh Solutions,AgroFresh Solutions Inc,USD,AGFS,equity,US00856G1094,AGROFRESH SOLUTIONS INC,Basic Materials,AGROFRESH SOLUTIONS INC,NMS,AGFS,,,
hong kong,AGTech,AGTech Holdings Ltd,HKD,8279,equity,BMG0135Z1032,AGTECH HOLDINGS LTD,"Consumer, Cyclical",AGTECH HOLDINGS LTD,8279,8279,Hong Kong,SEHK,HKD
australia,Ahalife Holdings,Ahalife Holdings Ltd,AUD,AHL,equity,AU000000AHL5,AHALIFE HOLDINGS LTD,,AHALIFE HOLDINGS LTD,,AHL,Australia,ASX,AUD
japan,Ahresty Corp,Ahresty Corp,JPY,5852,equity,JP3100600000,AHRESTY CORP,Industrial,AHRESTY CORP,5852,5852,Japan,TSEJ,JPY
japan,Ai Holdings Corp,Ai Holdings Corp,JPY,3076,equity,JP3105090009,AI HOLDINGS CORP,"Consumer, Cyclical",AI HOLDINGS CORP,3076,3076,Japan,TSEJ,JPY
hong kong,AIA Group,AIA Group Ltd,HKD,1299,equity,HK0000069689,AIA GROUP LTD,Financial,AIA GROUP LTD,1299,1299,Hong Kong,SEHK,HKD
japan,Aichi Steel Corp,Aichi Steel Corp,JPY,5482,equity,JP3103600007,AICHI STEEL CORP,Basic Materials,AICHI STEEL CORP,5482,5482,Japan,TSEJ,JPY
japan,Aida Engineering,Aida Engineering Ltd,JPY,6118,equity,JP3102400003,AIDA ENGINEERING LTD,Industrial,AIDA ENGINEERING LTD,6118,6118,Japan,TSEJ,JPY
japan,Aiful,Aiful Corp,JPY,8515,equity,JP3105040004,AIFUL CORP,Financial,AIFUL CORP,8515,8515,Japan,TSEJ,JPY
japan,Aigan Co Ltd,Aigan Co Ltd,JPY,9854,equity,JP3101000002,AIGAN CO LTD,"Consumer, Cyclical",AIGAN CO LTD,9854,9854,Japan,TSEJ,JPY
united states,Aimmune Therapeutics Inc,Aimmune Therapeutics Inc,USD,AIMT,equity,US00900T1079,AIMMUNE THERAPEUTICS INC,"Consumer, Non-cyclical",AIMMUNE THERAPEUTICS INC,AIMT,AIMT,,,
sweden,Aino Health,Aino Health AB,SEK,AINO,equity,SE0009242555,AINO HEALTH AB,Technology,AINO HEALTH AB,AINO,AINO,Sweden,SFB,SEK
australia,Ainsworth Game Technology,Ainsworth Game Technology Ltd,AUD,AGI,equity,AU000000AGI3,AINSWORTH GAME TECHNOLOGY LT,"Consumer, Cyclical",AINSWORTH GAME TECHNOLOGY LT,AGI,AGI,Australia,ASX,AUD
japan,Aiphone Co Ltd,Aiphone Co Ltd,JPY,6718,equity,JP3105050003,AIPHONE CO LTD,Communications,AIPHONE CO LTD,6718,6718,Japan,TSEJ,JPY
canada,Air Canada,Air Canada,CAD,AC,equity,CA0089118776,AIR CANADA,"Consumer, Cyclical",AIR CANADA,AC,AC,Canada,TSE,CAD
united states,Air Products,Air Products and Chemicals Inc,USD,APD,equity,US0091581068,AIR PRODUCTS & CHEMICALS INC,Basic Materials,AIR PRODUCTS & CHEMICALS INC,APD,APD,,,
canada,AirBoss of America Corp.,AirBoss of America Corp.,CAD,BOS,equity,CA00927V2003,AIRBOSS OF AMERICA CORP,Industrial,AIRBOSS OF AMERICA CORP,BOS,BOS,,,
japan,Airex,Airex Inc,JPY,6944,equity,JP3105150001,AIREX INC,,AIREX INC,,6944,Japan,TSEJ,JPY
united states,Airgain,Airgain Inc,USD,AIRG,equity,US00938A1043,AIRGAIN INC,Communications,AIRGAIN INC,SCM,AIRG,,,
united states,Airnet Tech,Airnet Technology Inc,USD,ANTE,equity,US00941Q1040,AIRNET TECHNOLOGY INC-ADR,Communications,AIRNET TECHNOLOGY INC-ADR,SCM,ANTE,,,
israel,Airport City,Airport City Ltd,ILS,ARPT,equity,IL0010958358,AIRPORT CITY LTD,Financial,AIRPORT CITY LTD,ARPT,ARPT,Israel,TASE,ILS
japan,Airport Facilities,Airport Facilities Co Ltd,JPY,8864,equity,JP3266050008,AIRPORT FACILITIES CO LTD,Financial,AIRPORT FACILITIES CO LTD,8864,8864,Japan,TSEJ,JPY
japan,Airtech Japan Ltd,Airtech Japan Ltd,JPY,6291,equity,JP3688100001,AIRTECH JAPAN LTD,Industrial,AIRTECH JAPAN LTD,6291,6291,Japan,TSEJ,JPY
japan,Aisan Industry,Aisan Industry Co Ltd,JPY,7283,equity,JP3101600009,AISAN INDUSTRY CO LTD,"Consumer, Cyclical",AISAN INDUSTRY CO LTD,7283,7283,Japan,TSEJ,JPY
japan,Aisan Tech,Aisan Technology Co Ltd,JPY,4667,equity,JP3101800005,AISAN TECHNOLOGY CO LTD,Technology,AISAN TECHNOLOGY CO LTD,4667,4667,Japan,TSEJ,JPY
japan,Aisin Seiki Ltd,Aisin Seiki Ltd,JPY,7259,equity,JP3102000001,AISIN SEIKI CO LTD,,,,,,,
china,Aisino Corp,Aisino Corp,CNY,600271,equity,CNE000001FB1,AISINO CORP-A,Technology,AISINO CORP-A,600271,600271,China,SEHKNTL,CNH
