country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,fuzz_socre1,fuzz_socre2
united states,AeroCentury,AeroCentury Corp,USD,ACY,equity,US0077371096,AEROCENTURY CORP,100,81
united states,Aerojet Rocketdyne,Aerojet Rocketdyne Holdings Inc,USD,AJRD,equity,US0078001056,AEROJET ROCKETDYNE HOLDINGS,93,80
china,Aerospace Communications,Aerospace Communications Holdings Co Ltd,CNY,600677,equity,CNE000000BS6,AEROSPACE COMMUNICATIONS -A,73,96
china,Aerosun Corp,Aerosun Corp,CNY,600501,equity,CNE000001857,AEROSUN CORP-A,92,92
united states,AeroVironment,AeroVironment Inc,USD,AVAV,equity,US0080731088,AEROVIRONMENT INC,100,87
canada,Aeterna Zentaris,Aeterna Zentaris Inc,CAD,AEZS,equity,CA0079754028,AETERNA ZENTARIS INC,100,89
switzerland,Aevis Victoria,Aevis Victoria SA,CHF,AEVS,equity,CH0478634105,AEVIS VICTORIA SA,100,90
israel,Afcon Holdings,Afcon Holdings Ltd,ILS,AFHL,equity,IL0005780130,AFCON HOLDINGS LTD,100,88
united states,Affiliated Managers,Affiliated Managers Group Inc,USD,AMG,equity,US0082521081,AFFILIATED MANAGERS GROUP,93,86
canada,Affinity Metals,Affinity Metals Corp,CAD,AFF,equity,CA00827Y1060,AFFINITY METALS CORP,100,86
united states,Aflac,Aflac Inc,USD,AFL,equity,US0010551028,AFLAC INC,100,71
israel,Africa Israel Residences,Africa Israel Residences Ltd,ILS,AFRE,equity,IL0010979487,AFRICA ISRAEL RESIDENCES LTD,100,92
australia,African Energy Resources,African Energy Resources Ltd,AUD,AFR,equity,AU000000AFR6,AFRICAN ENERGY RESOURCES-CDI,86,92
united states,AG Mortgage Investment,AG Mortgage Investment Trust Inc,USD,MITT,equity,US0012281053,AG MORTGAGE INVESTMENT TRUST,93,88
united states,Agenus,Agenus Inc,USD,AGEN,equity,US00847G7051,AGENUS INC,100,75
hong kong,Agile Group,Agile Group Holdings Ltd,HKD,3383,equity,KYG011981035,AGILE GROUP HOLDINGS LTD,100,63
united states,Agilent Technologies,Agilent Technologies Inc,USD,A,equity,US00846U1016,AGILENT TECHNOLOGIES INC,100,91
united states,Agilysys,Agilysys Inc,USD,AGYS,equity,US00847J1051,AGILYSYS INC,100,80
canada,AgJunction Inc.,AgJunction Inc.,CAD,AJX,equity,CA00847V1085,AGJUNCTION INC,100,100
australia,AGL Energy,AGL Energy Ltd,AUD,AGL,equity,AU000000AGL7,AGL ENERGY LTD,100,83
canada,Agnico Eagle Mines,Agnico-Eagle Mines Ltd.,CAD,AEM,equity,CA0084741085,AGNICO EAGLE MINES LTD,100,90
japan,Agora Hospitality Group,Agora Hospitality Group Co Ltd,JPY,9704,equity,JP3561200001,AGORA HOSPITALITY GROUP CO L,97,90
japan,Agratio Urban Design,Agratio Urban Design Inc,JPY,3467,equity,JP3108170006,AGRATIO URBAN DESIGN INC,100,91
hong kong,Agricultural Bank Of China,Agricultural Bank Of China,HKD,1288,equity,CNE100000Q43,AGRICULTURAL BANK OF CHINA-H,96,96
hong kong,Agritrade,Agritrade Resources Ltd,HKD,1131,equity,BMG0130N1130,AGRITRADE RESOURCES LTD,100,56
japan,Agro Kanesho Co Ltd,Agro-Kanesho Co Ltd,JPY,4955,equity,JP3108200001,AGRO-KANESHO CO LTD,100,100
united states,AgroFresh Solutions,AgroFresh Solutions Inc,USD,AGFS,equity,US00856G1094,AGROFRESH SOLUTIONS INC,100,90
hong kong,AGTech,AGTech Holdings Ltd,HKD,8279,equity,BMG0135Z1032,AGTECH HOLDINGS LTD,100,48
australia,Ahalife Holdings,Ahalife Holdings Ltd,AUD,AHL,equity,AU000000AHL5,AHALIFE HOLDINGS LTD,100,89
japan,Ahresty Corp,Ahresty Corp,JPY,5852,equity,JP3100600000,AHRESTY CORP,100,100
japan,Ai Holdings Corp,Ai Holdings Corp,JPY,3076,equity,JP3105090009,AI HOLDINGS CORP,100,100
hong kong,AIA Group,AIA Group Ltd,HKD,1299,equity,HK0000069689,AIA GROUP LTD,100,82
japan,Aichi Steel Corp,Aichi Steel Corp,JPY,5482,equity,JP3103600007,AICHI STEEL CORP,100,100
japan,Aida Engineering,Aida Engineering Ltd,JPY,6118,equity,JP3102400003,AIDA ENGINEERING LTD,100,89
japan,Aiful,Aiful Corp,JPY,8515,equity,JP3105040004,AIFUL CORP,100,67
japan,Aigan Co Ltd,Aigan Co Ltd,JPY,9854,equity,JP3101000002,AIGAN CO LTD,100,100
united states,Aimmune Therapeutics Inc,Aimmune Therapeutics Inc,USD,AIMT,equity,US00900T1079,AIMMUNE THERAPEUTICS INC,100,100
sweden,Aino Health,Aino Health AB,SEK,AINO,equity,SE0009242555,AINO HEALTH AB,100,88
australia,Ainsworth Game Technology,Ainsworth Game Technology Ltd,AUD,AGI,equity,AU000000AGI3,AINSWORTH GAME TECHNOLOGY LT,98,94
japan,Aiphone Co Ltd,Aiphone Co Ltd,JPY,6718,equity,JP3105050003,AIPHONE CO LTD,100,100
canada,Air Canada,Air Canada,CAD,AC,equity,CA0089118776,AIR CANADA,100,100
united states,Air Products,Air Products and Chemicals Inc,USD,APD,equity,US0091581068,AIR PRODUCTS & CHEMICALS INC,93,63
canada,AirBoss of America Corp.,AirBoss of America Corp.,CAD,BOS,equity,CA00927V2003,AIRBOSS OF AMERICA CORP,100,100
japan,Airex,Airex Inc,JPY,6944,equity,JP3105150001,AIREX INC,100,71
united states,Airgain,Airgain Inc,USD,AIRG,equity,US00938A1043,AIRGAIN INC,100,78
united states,Airnet Tech,Airnet Technology Inc,USD,ANTE,equity,US00941Q1040,AIRNET TECHNOLOGY INC-ADR,91,61
israel,Airport City,Airport City Ltd,ILS,ARPT,equity,IL0010958358,AIRPORT CITY LTD,100,86
japan,Airport Facilities,Airport Facilities Co Ltd,JPY,8864,equity,JP3266050008,AIRPORT FACILITIES CO LTD,100,84
japan,Airtech Japan Ltd,Airtech Japan Ltd,JPY,6291,equity,JP3688100001,AIRTECH JAPAN LTD,100,100
japan,Aisan Industry,Aisan Industry Co Ltd,JPY,7283,equity,JP3101600009,AISAN INDUSTRY CO LTD,100,80
japan,Aisan Tech,Aisan Technology Co Ltd,JPY,4667,equity,JP3101800005,AISAN TECHNOLOGY CO LTD,100,61
japan,Aisin Seiki Ltd,Aisin Seiki Ltd,JPY,7259,equity,JP3102000001,AISIN SEIKI CO LTD,91,91
china,Aisino Corp,Aisino Corp,CNY,600271,equity,CNE000001FB1,AISINO CORP-A,92,92
japan,AIT Corp,AIT Corp,JPY,9381,equity,JP3160050005,AIT CORP,100,100
japan,Aizawa Securities,Aizawa Securities Co Ltd,JPY,8708,equity,JP3101850000,AIZAWA SECURITIES CO LTD,100,83
japan,"Ajinomoto Co., Inc.","Ajinomoto Co., Inc.",JPY,2802,equity,JP3119600009,AJINOMOTO CO INC,100,100
hong kong,Ajisen China Holdings,Ajisen China Holdings Ltd,HKD,0538,equity,KYG0192S1093,AJISEN CHINA HOLDINGS LTD,100,91
mexico,AK Steel,AK Steel Holding Corp,MXN,AKS,equity,US0015471081,AK STEEL HOLDING CORP,100,55
united states,Akamai,Akamai Technologies Inc,USD,AKAM,equity,US00971T1016,AKAMAI TECHNOLOGIES INC,100,41
japan,Akatsuki Eazima,Akatsuki Eazima Co Ltd,JPY,1997,equity,JP3131000006,AKATSUKI EAZIMA CO LTD,100,81
united states,Akcea Therapeutics,Akcea Therapeutics Inc,USD,AKCA,equity,US00972L1070,AKCEA THERAPEUTICS INC,100,90
japan,Akebono Brake Industry,Akebono Brake Industry Co Ltd,JPY,7238,equity,JP3108400007,AKEBONO BRAKE INDUSTRY CO,93,94
united states,Akerna,Akerna Corp,USD,KERN,equity,US00973W1027,AKERNA CORP,100,71
japan,Akikawa Foods & Farms,Akikawa Foods & Farms Co Ltd,JPY,1380,equity,JP3107400008,AKIKAWA FOODS & FARMS CO LTD,100,84
united states,Akoustis Tech,Akoustis Technologies Inc,USD,AKTS,equity,US00973N1028,AKOUSTIS TECHNOLOGIES INC,100,68
canada,Alacer Gold,Alacer Gold Corp,CAD,ASR,equity,CA0106791084,ALACER GOLD CORP,100,81
united states,Alamo,Alamo Group Inc,USD,ALG,equity,US0113111076,ALAMO GROUP INC,100,50
australia,Alara Resources Ltd,Alara Resources Ltd,AUD,AUQ,equity,AU000000AUQ7,ALARA RESOURCES LTD,100,100
canada,Alaris Royalty,Alaris Royalty Corp.,CAD,AD,equity,CA01163Q4007,ALARIS ROYALTY CORP,100,85
united states,Alarm.com Holdings,Alarm.com Holdings Inc,USD,ALRM,equity,US0116421050,ALARM.COM HOLDINGS INC,100,90
united states,Alaska Air,Alaska Air Group Inc,USD,ALK,equity,US0116591092,ALASKA AIR GROUP INC,100,67
united kingdom,Alba Mineral,Alba Mineral Resources,GBP,ALBA,equity,GB00B06KBB18,ALBA MINERAL RESOURCES PLC,92,63
mexico,Albemarle,Albemarle Corp,MXN,ALB,equity,US0126531013,ALBEMARLE CORP,100,78
japan,Albert,Albert Inc,JPY,3906,equity,JP3126460009,ALBERT INC,100,75
united states,Alberton Acquisition,Alberton Acquisition Corp,USD,ALAC,equity,VGG350061088,ALBERTON ACQUISITION CORP,100,89
united states,Alberton Acquisition,Alberton Acquisition Corp,USD,ALAC,equity,VGG350061088,ALBERTON ACQUISITION CORP,100,89
united states,Albireo Pharma,Albireo Pharma Inc,USD,ALBO,equity,US01345P1066,ALBIREO PHARMA INC,100,88
australia,Alchemy Resources Ltd,Alchemy Resources Ltd,AUD,ALY,equity,AU000000ALY0,ALCHEMY RESOURCES LTD,100,100
hong kong,Alco,Alco Holdings Ltd,HKD,0328,equity,BMG0154K1027,ALCO HOLDINGS LTD.,100,38
japan,Alconix Corp,Alconix Corp,JPY,3036,equity,JP3126210008,ALCONIX CORP,100,100
canada,Alderon Iron Ore,Alderon Iron Ore Corp,CAD,IRON,equity,CA01434T1003,ALDERON IRON ORE CORP,100,86
