Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
CLB,Netherlands,EUR,AS,NL0000200384,Core Laboratories NV,Common Stock,16.2,2022-07-21
CFX,Israel,ILA,TA,IL0003890154,Cofix Group Ltd,Common Stock,755.0,2022-07-21
CML,Canada,CAD,V,CA13758Y2015,CaNickel Mining Ltd,Common Stock,0.06,2022-07-20
CML,Australia,AUD,AU,AU0000037616,Chase Mining Corporation Ltd,Common Stock,0.014,2022-07-21
CML,South Africa,ZAC,JSE,ZAE000047353,Coronation Fund Managers Ltd,Common Stock,3350.0,2022-07-21
CGB,Australia,AUD,AU,AU0000038085,Cann Global Ltd,Common Stock,0.028,2022-07-21
CAN,Australia,AUD,AU,AU000000CAN2,Cann Group Ltd,Common Stock,0.31,2022-07-21
CA,France,EUR,PA,FR0000120172,Carrefour SA,Common Stock,17.01,2022-07-21
7739,Japan,JPY,TSE,JP3243200007,Canon Electronics Inc,Common Stock,1580.0,2022-07-21
8060,Japan,JPY,TSE,JP3243600008,Canon Marketing Japan Inc,Common Stock,2909.0,2022-07-21
CGC,Australia,AUD,AU,AU000000CGC2,Costa Group Holdings Ltd,Common Stock,2.59,2022-07-21
6185,Hong Kong,HKD,HK,CNE100003F01,Cansino Biologics Inc.,Common Stock,74.05,2022-07-21
6185,Japan,JPY,TSE,JP3435770007,SMN Corp,Common Stock,581.0,2022-07-21
ROX,Canada,CAD,V,CA1380813024,Canstar Resources Inc,Common Stock,0.11,2022-07-21
CANTABIL,India,INR,NSE,INE068L01016,Cantabil Retail India Limited,Common Stock,1133.85,2022-07-21
CMD,Australia,AUD,AU,AU000000CMD8,Cassius Mining Ltd,Common Stock,0.023,2022-07-21
CMD,Canada,CAD,V,CA2005023007,Commander Resources Ltd,Common Stock,0.09,2022-07-20
CPHC,USA,USD,US,US13811E1010,Canterbury Park Holding Corporation,Common Stock,22.32,2022-07-21
CBY,Australia,AUD,AU,AU0000028102,Canterbury Resources Ltd,Common Stock,0.043000000000000003,2022-07-21
CTM,Australia,AUD,AU,AU000000CTM4,Centaurus Metals Ltd,Common Stock,0.97,2022-07-21
CD,Canada,CAD,V,CA1381173048,Cantex Mine Development Corp,Common Stock,0.30000000000000004,2022-07-21
CDA,Australia,AUD,AU,AU000000CDA3,Codan Ltd,Common Stock,8.35,2022-07-21
CGS,UK,GBX,LSE,GB0001795680,Castings PLC,Common Stock,316.0,2022-07-21
CGS,Australia,AUD,AU,AU000000CGS8,CogState Ltd,Common Stock,1.7850000000000001,2022-07-21
