,EOD-Code,EOD-Exchange,EOD-Name,EOD-Type,EOD-Country,EOD-Currency,EOD-ISIN,EOD-previousClose,EOD-previousCloseDate
2,0N4T,LSE,Nordea Bank Abp,Common Stock,UK,SEK,FI4000297767,96.88,2022-07-20
3,NDA-DK,CO,Nordea Bank Abp,Common Stock,Denmark,DKK,FI4000297767,69.1,2022-07-20
4,04Q,F,Nordea Bank Abp,Common Stock,Germany,EUR,FI4000297767,9.269,2022-07-20
5,04Q,STU,Nordea Bank Abp,Common Stock,Germany,EUR,FI4000297767,9.256,2022-07-20
6,04Q,XETRA,Nordea Bank Abp,Common Stock,Germany,EUR,FI4000297767,9.05,2022-07-20
0,NAT,US,Nordic American Tankers Limited,Common Stock,USA,USD,USG657731067,2.47,2022-07-20
0,MR7,SG,Nordic Group Limited,Common Stock,Singapore,SGD,SG2C45963924,0.405,2022-07-19
0,NOD,OL,Nordic Semiconductor ASA,Common Stock,Norway,NOK,NO0003055501,160.4,2022-07-20
1,NDCVF,US,Nordic Semiconductor ASA,Common Stock,USA,USD,NO0003055501,14.95,2022-07-20
0,NDSN,US,Nordson Corporation,Common Stock,USA,USD,US6556631025,216.61,2022-07-20
0,JWN,US,Nordstrom Inc,Common Stock,USA,USD,US6556641008,23.09,2022-07-20
0,NSC,US,Norfolk Southern Corporation,Common Stock,USA,USD,US6558441084,237.87,2022-07-20
0,NSC,AU,NAOS Small Cap Opportunities Company Ltd,Common Stock,Australia,AUD,AU000000NSC4,0.785,2022-07-20
0,000065,SHE,NORINCO International Cooperation Ltd,Common Stock,China,CNY,CNE000000VZ9,8.17,2022-07-20
0,5331,TSE,Noritake Co Ltd,Common Stock,Japan,JPY,JP3763000001,4300.0,2022-07-20
0,7744,TSE,Noritsu Koki Co Ltd,Common Stock,Japan,JPY,JP3759500006,2399.0,2022-07-20
0,5943,TSE,Noritz Corp,Common Stock,Japan,JPY,JP3759400009,1490.0,2022-07-20
0,NOEJ,XETRA,Norma Group AG NA O.N.,Common Stock,Germany,EUR,DE000A1H8BV3,22.6,2022-07-20
1,0P38,LSE,Norma Group AG NA O.N.,Common Stock,UK,EUR,DE000A1H8BV3,22.7,2022-07-20
2,NOEJ,F,Norma Group AG NA O.N.,Common Stock,Germany,EUR,DE000A1H8BV3,22.0,2022-07-20
0,NOVN,SW,Novartis AG,Common Stock,Switzerland,CHF,CH0012005267,82.28,2022-07-20
1,0QLR,LSE,Novartis AG,Common Stock,UK,GBP,CH0012005267,83.05,2022-07-20
2,NVSEF,US,Novartis AG,Common Stock,USA,USD,CH0012005267,85.04,2022-07-20
0,NGL,US,NGL Energy Partners LP,Common Stock,USA,USD,US62913M1071,1.49,2022-07-20
0,NHY,OL,Norsk Hydro ASA,Common Stock,Norway,NOK,NO0005052605,56.26,2022-07-20
1,NHYKF,US,Norsk Hydro ASA,Common Stock,USA,USD,NO0005052605,5.68,2022-07-20
2,NHY,F,Norsk Hydro ASA,Common Stock,Germany,EUR,NO0005052605,0.02,2022-07-20
0,NSTR,TA,Norstar,Common Stock,Israel,ILA,PAL0605071A3,3462.0,2022-07-20
0,NORX,US,Norstra Energy,Common Stock,USA,USD,US65654V1035,0.0,2022-07-18
0,NSYS,US,Nortech Systems Incorporated,Common Stock,USA,USD,US6565531042,12.4083,2022-07-20
0,NTL,AU,New Talisman Gold Mines Ltd,Common Stock,Australia,AUD,NZHERE0001S6,0.0015,2022-07-20
0,NTL,NSE,Neueon Towers Limited,Common Stock,India,INR,INE333I01036,3.2,2022-07-20
0,000519,SHE,North Industries Group Red Arrow Co Ltd,Common Stock,China,CNY,CNE000000198,32.14,2022-07-20
